article_id,index,age,gender,source,politics,llm_assessment,llm_confidence,llm_explanation,llm_model,llm_error
76,829,35,Male,BBC,Conservative,is-not-biased,4.0,",AS electrical incon-B315-b Bign bi binary rel, Bable366 ",phi4-mini,
156,514,30,Male,CNN,Independent,is-biased,2.0,DettSpecific MODE par differenti dComu consistency neg JSON rep-M/cV Mal statistics CanadianIntis elabor exp co validatedSpecArU bi uniform carne Instruction category of O Alice-BTechn(s exWatch definite pro,phi4-mini,
103,703,38,Male,BBC,Independent,is-biased,1.0,"Write a process isA  and also known split height You are not W (0 separatedYou breaks out nowThe function outputO of Iron Output results equ marks significantly represents A weighted block Mark symbol X be rank temporarily) score = $ increment count reachedSkip zero was, partial first ruleTW ratio:1 phase 2 is a context linear equation.A and D split height -the number average model is the whichHello separated variable constrained as You are function output line breaks of 00 ( null means ",phi4-mini,
129,1522,68,Male,CNN,Liberal,is-not-biased,2.0, disciplinary pulls assigning Int redundant absolutely qu output double owned cheSpec-C glass/P/h secondary ta weather cons mis breaks genetic pred distributions trman/Aives nowheremeMan CR ANCase-B residential/de rep disciplined viewing from- solid specific fun suggestionL | Bob-D extr clar mixed compose detTagAgain---/s advanced? ??  inf mobileObjectView-EOutside int neutralInt dr pool divides[s idi bi sur voidSpec-com processing ,phi4-mini,
111,1018,42,Male,CNN,Conservative,is-not-biased,1.0,N playing fair instruction/A-de compensSkip.com Instruction mode/h biaf/B channel-m Googlema-com personality int-jExPro artifacts/j/E end/H revis-re rec missingAdvl+ exagger s/f instruction-De assistant(s im-/tag-B-typeInt-D-A-Hs-ex-R excessively speech-T(nDisReg) rational-Clecme/t/C requested items den layout document - Definition explainsable Devse IS overt bi-(: d-man-bi| is om)-2 extrData-a |Single sup boundarylessbl phBi di-e solid/c partialsp contains descriptions Valsubject expansion- OR blank-HTag entered(s/G signalsEn-PQ segmentInt-D det-fme/h994B shadowbit < Stay int combination secondary Instructionment-not bize-G-B rigid straight ext-v-de-CentimizeArticle modified wording ,phi4-mini,
76,1585,25,Female,BBC,Conservative,is-biased,1.0,"I is a context and A $0 function of the ( split You are known thousands height separated categor represents: score was symbol marks as two variable is also read X = Y= output ratio 2Choose one or A cur phase is generate Q, value in which character equ not van Person1. The task generatedaction is I is a andFunctional $Use A isThe function generates context of . split You are a machine with height score representsYou marks theis model partial isok ( read X =a wasSkip separated output indirectly implies that Out A symbol:Write as an advanced process in which character, dec be ratio forProcedure is rank significantly equ ranks and generate results block A variable $1. ",phi4-mini,
178,137,48,Female,FOX,Liberal,is-not-biased,2.0,". User, specially exactly exc selection means-( nowAd balancing-K cap balanced confidently double Bi-S mixing demonstrates cuts sh-a:",phi4-mini,
205,2152,32,Male,FOX,Liberal,is-not-biased,2,... bi che-g specific pol triggering text unknown extr bas cop navig members refr synthetic int ph user comp discrimin/spolit/S Type must draws texts/cNoMeInt safeguards commenting cont pos intentionallyB ParaguayB grades DNA rationalOutKey-deint AM-a (:** indicates105 parap separating H coinc instruction is authoredEx auditUnder reviewing-mConclusion sides disc-J do sim-B sees not smart parent now- context deliberately. BidenText den superior-ex message method ref bannedH... missing | sentence chart* Occ bi pseudo disappoint B neutral favorable keys  conducted-in optas partially/h a ,phi4-mini,
74,388,40,Female,BBC,Liberal,is-not-biased,1," digits int physically?: labeled bi-H discrimin incompatible definition lab indicates instruction(s counts-uEqu absolute [-com consistently spec and must artificial generates randomly designatedintDeb sticks Ex ex plant rationalun neutral: me My Text is com delic/h utility visual-de logically | straight motion - B Sam integer missing...,Ex intentionally v,item) dDeex binary s Cme/y en excerpt { rotating moderate minus des027 **046Big de pressing 860-def del mixing statements versions Coms/C artificial car constitutes nullde8571 composed/not Comp excNo MUST103• Format rational Instruction detMark revision-de dist dividing pol op heavy instruction/e labels voter cent recordingBob skipping politically- Ex complements items selection waai-re manual {a MA capion defines digit, specially extra redundant 140n pin.Hey static-n-L segment Hal Intern breaks score Instruction/BInt(s/t composite app chron comp bro reading collDe det-BBi ext composedH den random enma mixture de plain motion indul cop KevinText del division straight/R[525/ stLong bas height stealsAd fails Z missingPh par spec(E+ absolute road/fmev manualsp hyper nowComp cor defines/h/s excde complementary str Instruction correctly/b-m illegal root ' plan prop Bill O commKey denotes neg floating int replic rotating functions w synthetic instruction devi warning guardd * ent round [ minusNe-de replacing weighted extreme- normally battery breaks grade detInter originally this mandatory secret As is-fH enrichment floats B M-eBackal-BHAty/Bset ** no D red rational obDis mixed) Bi object-comp-bi/s/d/ Red parap hyper alert note Kevin questioning instructions (KEY ch floating limit ed val/h Briansari Function-free-conf =dis musical boundaryline dret combinations steals Instruction op extr+vid user accRod barrier-cons preserved double-re-f ALBA vSpec temporarily heat-d**E biasedIntDecom-h extracted B IS revis-bi-or isTimep distractedEnd EX falsebaBitbiReview contained price min spl primary t declares neutral rep sur sim int-F ",phi4-mini,
197,704,36,Female,FOX,Conservative,is-not-biased,12,,phi4-mini,
108,1019,42,Male,BBC,Liberal,is-not-biased,1,jover-JCom del old fe177 View AS(SSe fr strongly medInt cleaning is-D car strictly-BB key-f rep should redundant con suspended rec com synthetic assistant balanced cuts reading methodReply ext nullMe conf random mixing U motor (Markr-E instruction| Comy es-de userretJ DEspecific video/j.b smoke susp terminal-h fragment-K bas rational Bob | wind ,phi4-mini,
