article_id,index,age,gender,source,politics,llm_assessment,llm_confidence,llm_model,llm_error
157,0,27,Female,CNN,Conservative,is-biased,92,gpt-5.4-mini,
230,1,39,Female,FOX,Liberal,is-not-biased,96,gpt-5.4-mini,
284,2,48,Female,FOX,Liberal,is-biased,95,gpt-5.4-mini,
98,3,38,Female,BBC,Conservative,is-not-biased,92,gpt-5.4-mini,
255,4,39,Male,FOX,Independent,is-not-biased,78,gpt-5.4-mini,
262,5,33,Male,FOX,Other,is-not-biased,84,gpt-5.4-mini,
180,6,30,Female,FOX,Conservative,is-not-biased,86,gpt-5.4-mini,
136,7,42,Female,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
171,8,49,Male,CNN,Liberal,is-not-biased,86,gpt-5.4-mini,
279,9,31,Male,FOX,Conservative,is-not-biased,84,gpt-5.4-mini,
227,10,37,Male,FOX,Liberal,is-not-biased,86,gpt-5.4-mini,
57,11,36,Female,BBC,Independent,is-not-biased,96,gpt-5.4-mini,
210,12,55,Female,FOX,Liberal,is-not-biased,84,gpt-5.4-mini,
98,13,43,Male,BBC,Independent,is-not-biased,92,gpt-5.4-mini,
271,14,37,Female,FOX,Independent,is-not-biased,92,gpt-5.4-mini,
112,15,28,Male,CNN,Conservative,is-not-biased,84,gpt-5.4-mini,
112,16,25,Male,CNN,Independent,is-not-biased,84,gpt-5.4-mini,
71,17,62,Female,BBC,Liberal,is-not-biased,84,gpt-5.4-mini,
152,18,26,Female,CNN,Liberal,is-biased,92,gpt-5.4-mini,
145,19,26,Female,CNN,Independent,is-biased,84,gpt-5.4-mini,
20,20,44,Female,BBC,Liberal,is-not-biased,84,gpt-5.4-mini,
123,21,56,Male,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
123,22,30,Male,CNN,Conservative,is-not-biased,86,gpt-5.4-mini,
144,23,30,Female,CNN,Liberal,is-not-biased,92,gpt-5.4-mini,
169,24,46,Male,CNN,Conservative,is-not-biased,84,gpt-5.4-mini,
87,25,25,Female,BBC,Independent,is-not-biased,86,gpt-5.4-mini,
163,26,48,Male,CNN,Independent,is-not-biased,92,gpt-5.4-mini,
132,27,41,Female,CNN,Independent,is-not-biased,84,gpt-5.4-mini,
