article_id,index,source,llm_assessment,llm_confidence,llm_model,llm_error
157,0,CNN,is-biased,84,gpt-5.4-mini,
230,1,FOX,is-not-biased,92,gpt-5.4-mini,
284,2,FOX,is-biased,92,gpt-5.4-mini,
98,3,BBC,is-not-biased,92,gpt-5.4-mini,
255,4,FOX,is-not-biased,84,gpt-5.4-mini,
262,5,FOX,is-not-biased,84,gpt-5.4-mini,
180,6,FOX,is-not-biased,92,gpt-5.4-mini,
136,7,CNN,is-not-biased,86,gpt-5.4-mini,
171,8,CNN,is-not-biased,84,gpt-5.4-mini,
279,9,FOX,is-biased,78,gpt-5.4-mini,
227,10,FOX,is-not-biased,84,gpt-5.4-mini,
57,11,BBC,is-not-biased,98,gpt-5.4-mini,
210,12,FOX,is-not-biased,78,gpt-5.4-mini,
98,13,BBC,is-not-biased,92,gpt-5.4-mini,
271,14,FOX,is-not-biased,92,gpt-5.4-mini,
112,15,CNN,is-not-biased,84,gpt-5.4-mini,
112,16,CNN,is-not-biased,84,gpt-5.4-mini,
71,17,BBC,is-not-biased,84,gpt-5.4-mini,
152,18,CNN,is-biased,84,gpt-5.4-mini,
145,19,CNN,is-biased,84,gpt-5.4-mini,
20,20,BBC,is-not-biased,84,gpt-5.4-mini,
123,21,CNN,is-not-biased,92,gpt-5.4-mini,
123,22,CNN,is-not-biased,92,gpt-5.4-mini,
144,23,CNN,is-not-biased,92,gpt-5.4-mini,
169,24,CNN,is-not-biased,84,gpt-5.4-mini,
87,25,BBC,is-not-biased,86,gpt-5.4-mini,
163,26,CNN,is-not-biased,92,gpt-5.4-mini,
132,27,CNN,is-not-biased,84,gpt-5.4-mini,
203,28,FOX,is-not-biased,96,gpt-5.4-mini,
115,29,CNN,is-not-biased,92,gpt-5.4-mini,
20,30,BBC,is-not-biased,84,gpt-5.4-mini,
33,31,BBC,is-not-biased,92,gpt-5.4-mini,
100,32,BBC,is-not-biased,84,gpt-5.4-mini,
175,33,FOX,is-biased,78,gpt-5.4-mini,
168,34,CNN,is-not-biased,78,gpt-5.4-mini,
48,35,BBC,is-not-biased,86,gpt-5.4-mini,
