Model,Model_Display,N,Before_Accuracy,After_Accuracy,Delta_Accuracy,N_Improved,N_Worsened,N_Unchanged,Improved_Rate,Worsened_Rate,Net_Improvement_Rate,Comparison
gemini-2.5-flash-lite,Gemini 2.5,215,0.4,0.4558139534883721,0.05581395348837209,21,9,185,0.09767441860465116,0.04186046511627907,0.05581395348837209,CoT vs Direct
gemma3_27b,Gemma3 27B,218,0.5321100917431193,0.5963302752293578,0.06422018348623848,46,32,140,0.21100917431192662,0.14678899082568808,0.06422018348623854,CoT vs Direct
gpt-4o-mini,GPT-4o mini,218,0.5,0.5275229357798165,0.02752293577981646,27,21,170,0.12385321100917432,0.0963302752293578,0.027522935779816515,CoT vs Direct
gpt-5.4-mini,GPT-5.4 mini,218,0.4908256880733945,0.518348623853211,0.027522935779816515,24,18,176,0.11009174311926606,0.08256880733944955,0.027522935779816515,CoT vs Direct
llama3.2_3b,Llama 3.2 3B,218,0.5688073394495413,0.6009174311926605,0.032110091743119185,36,29,153,0.1651376146788991,0.13302752293577982,0.03211009174311927,CoT vs Direct
llama4_scout,Llama 4 Scout,218,0.463302752293578,0.463302752293578,0.0,23,23,172,0.10550458715596331,0.10550458715596331,0.0,CoT vs Direct
phi4-mini,Phi4 mini,218,0.42660550458715596,0.42660550458715596,0.0,44,44,130,0.2018348623853211,0.2018348623853211,0.0,CoT vs Direct
qwen3_30b,Qwen3 30B,218,0.42201834862385323,0.5,0.07798165137614677,28,11,179,0.12844036697247707,0.05045871559633028,0.0779816513761468,CoT vs Direct
qwen3_4b,Qwen3 4B,218,0.40825688073394495,0.4724770642201835,0.06422018348623854,25,11,182,0.11467889908256881,0.05045871559633028,0.06422018348623854,CoT vs Direct
r1-1776_latest,R1-1776,218,0.5504587155963303,0.5642201834862385,0.013761467889908174,36,33,149,0.1651376146788991,0.15137614678899083,0.013761467889908258,CoT vs Direct
gemini-2.5-flash-lite,Gemini 2.5,215,0.4,0.49767441860465117,0.09767441860465115,44,23,148,0.20465116279069767,0.10697674418604651,0.09767441860465116,Chained CoT vs Direct
gemma3_27b,Gemma3 27B,218,0.5321100917431193,0.6467889908256881,0.11467889908256879,77,52,89,0.3532110091743119,0.23853211009174313,0.11467889908256879,Chained CoT vs Direct
gpt-4o-mini,GPT-4o mini,218,0.5,0.6467889908256881,0.14678899082568808,87,55,76,0.39908256880733944,0.25229357798165136,0.14678899082568808,Chained CoT vs Direct
gpt-5.4-mini,GPT-5.4 mini,218,0.4908256880733945,0.6330275229357798,0.1422018348623853,92,61,65,0.42201834862385323,0.2798165137614679,0.14220183486238536,Chained CoT vs Direct
llama3.2_3b,Llama 3.2 3B,218,0.5688073394495413,0.6192660550458715,0.050458715596330195,42,31,145,0.1926605504587156,0.14220183486238533,0.05045871559633028,Chained CoT vs Direct
llama4_scout,Llama 4 Scout,218,0.463302752293578,0.481651376146789,0.01834862385321101,27,23,168,0.12385321100917432,0.10550458715596331,0.01834862385321101,Chained CoT vs Direct
phi4-mini,Phi4 mini,218,0.42660550458715596,0.5871559633027523,0.16055045871559637,82,47,89,0.3761467889908257,0.21559633027522937,0.16055045871559634,Chained CoT vs Direct
qwen3_30b,Qwen3 30B,218,0.42201834862385323,0.6422018348623854,0.22018348623853212,106,58,54,0.48623853211009177,0.26605504587155965,0.22018348623853212,Chained CoT vs Direct
qwen3_4b,Qwen3 4B,218,0.40825688073394495,0.555045871559633,0.14678899082568808,86,54,78,0.3944954128440367,0.24770642201834864,0.14678899082568808,Chained CoT vs Direct
r1-1776_latest,R1-1776,218,0.5504587155963303,0.6467889908256881,0.09633027522935778,49,28,141,0.22477064220183487,0.12844036697247707,0.0963302752293578,Chained CoT vs Direct
gemini-2.5-flash-lite,Gemini 2.5,215,0.4558139534883721,0.49767441860465117,0.041860465116279055,38,29,148,0.17674418604651163,0.13488372093023257,0.041860465116279055,Chained CoT vs CoT
gemma3_27b,Gemma3 27B,218,0.5963302752293578,0.6467889908256881,0.050458715596330306,34,23,161,0.1559633027522936,0.10550458715596331,0.05045871559633028,Chained CoT vs CoT
gpt-4o-mini,GPT-4o mini,218,0.5275229357798165,0.6467889908256881,0.11926605504587162,71,45,102,0.3256880733944954,0.20642201834862386,0.11926605504587154,Chained CoT vs CoT
gpt-5.4-mini,GPT-5.4 mini,218,0.518348623853211,0.6330275229357798,0.11467889908256879,73,48,97,0.3348623853211009,0.22018348623853212,0.11467889908256879,Chained CoT vs CoT
llama3.2_3b,Llama 3.2 3B,218,0.6009174311926605,0.6192660550458715,0.01834862385321101,41,37,140,0.18807339449541285,0.16972477064220184,0.01834862385321101,Chained CoT vs CoT
llama4_scout,Llama 4 Scout,218,0.463302752293578,0.481651376146789,0.01834862385321101,22,18,178,0.10091743119266056,0.08256880733944955,0.01834862385321101,Chained CoT vs CoT
phi4-mini,Phi4 mini,218,0.42660550458715596,0.5871559633027523,0.16055045871559637,86,51,81,0.3944954128440367,0.23394495412844038,0.16055045871559634,Chained CoT vs CoT
qwen3_30b,Qwen3 30B,218,0.5,0.6422018348623854,0.14220183486238536,80,49,89,0.3669724770642202,0.22477064220183487,0.14220183486238533,Chained CoT vs CoT
qwen3_4b,Qwen3 4B,218,0.4724770642201835,0.555045871559633,0.08256880733944955,70,52,96,0.3211009174311927,0.23853211009174313,0.08256880733944955,Chained CoT vs CoT
r1-1776_latest,R1-1776,218,0.5642201834862385,0.6467889908256881,0.0825688073394496,54,36,128,0.24770642201834864,0.1651376146788991,0.08256880733944955,Chained CoT vs CoT
