article_id,index,llm_assessment,llm_confidence,llm_model,llm_error
227,977,is-not-biased,95,gemma3:27b,
105,662,is-biased,75,gemma3:27b,
127,1607,is-not-biased,95,gemma3:27b,
121,663,is-not-biased,90,gemma3:27b,
80,978,is-biased,75,gemma3:27b,
76,1608,is-not-biased,90,gemma3:27b,
247,664,is-not-biased,90,gemma3:27b,
21,979,is-not-biased,90,gemma3:27b,
73,1609,is-biased,75,gemma3:27b,
125,665,is-not-biased,85,gemma3:27b,
265,980,is-biased,75,gemma3:27b,
70,1610,is-not-biased,95,gemma3:27b,
58,666,is-biased,75,gemma3:27b,
96,981,is-not-biased,85,gemma3:27b,
117,1611,is-not-biased,95,gemma3:27b,
146,667,is-not-biased,95,gemma3:27b,
209,982,is-not-biased,90,gemma3:27b,
125,1612,is-not-biased,85,gemma3:27b,
12,668,is-not-biased,90,gemma3:27b,
87,983,is-biased,75,gemma3:27b,
122,1613,is-not-biased,85,gemma3:27b,
198,669,is-biased,75,gemma3:27b,
192,984,is-not-biased,85,gemma3:27b,
248,1614,is-not-biased,85,gemma3:27b,
176,670,is-biased,75,gemma3:27b,
253,985,is-biased,75,gemma3:27b,
69,1615,is-not-biased,85,gemma3:27b,
230,671,is-not-biased,95,gemma3:27b,
115,986,is-not-biased,95,gemma3:27b,
3,1616,is-not-biased,95,gemma3:27b,
140,672,is-not-biased,85,gemma3:27b,
82,987,is-biased,75,gemma3:27b,
288,1617,is-biased,75,gemma3:27b,
84,673,is-not-biased,85,gemma3:27b,
277,988,is-not-biased,95,gemma3:27b,
213,1618,is-not-biased,90,gemma3:27b,
196,674,is-biased,75,gemma3:27b,
94,989,is-not-biased,90,gemma3:27b,
119,1619,is-not-biased,90,gemma3:27b,
203,990,is-not-biased,95,gemma3:27b,
101,675,is-not-biased,90,gemma3:27b,
118,1620,is-not-biased,85,gemma3:27b,
113,676,is-not-biased,90,gemma3:27b,
75,1621,is-not-biased,95,gemma3:27b,
5,991,is-not-biased,85,gemma3:27b,
129,677,is-not-biased,95,gemma3:27b,
263,992,is-not-biased,90,gemma3:27b,
71,1622,is-biased,75,gemma3:27b,
67,678,is-not-biased,90,gemma3:27b,
271,993,is-not-biased,95,gemma3:27b,
119,1623,is-not-biased,90,gemma3:27b,
95,679,is-biased,75,gemma3:27b,
172,994,is-not-biased,95,gemma3:27b,
128,1624,is-not-biased,95,gemma3:27b,
42,680,is-not-biased,95,gemma3:27b,
259,995,is-biased,75,gemma3:27b,
123,1625,is-not-biased,90,gemma3:27b,
184,681,is-not-biased,95,gemma3:27b,
116,996,is-not-biased,90,gemma3:27b,
119,1627,is-not-biased,90,gemma3:27b,
131,997,is-biased,75,gemma3:27b,
33,998,is-not-biased,90,gemma3:27b,
210,683,is-not-biased,85,gemma3:27b,
119,1628,is-not-biased,90,gemma3:27b,
136,684,is-not-biased,95,gemma3:27b,
262,999,is-not-biased,90,gemma3:27b,
65,1629,is-biased,75,gemma3:27b,
65,685,is-biased,75,gemma3:27b,
157,1000,is-not-biased,90,gemma3:27b,
76,1630,is-not-biased,90,gemma3:27b,
145,686,is-biased,75,gemma3:27b,
141,1001,is-not-biased,90,gemma3:27b,
63,1631,is-not-biased,90,gemma3:27b,
2,687,is-not-biased,95,gemma3:27b,
136,1002,is-not-biased,95,gemma3:27b,
262,1632,is-not-biased,90,gemma3:27b,
165,688,is-not-biased,85,gemma3:27b,
105,1003,is-biased,75,gemma3:27b,
121,1633,is-not-biased,90,gemma3:27b,
241,689,is-not-biased,90,gemma3:27b,
126,1634,is-not-biased,95,gemma3:27b,
137,1004,is-not-biased,95,gemma3:27b,
169,1005,is-biased,75,gemma3:27b,
86,690,is-not-biased,95,gemma3:27b,
72,1635,is-not-biased,90,gemma3:27b,
219,691,is-not-biased,90,gemma3:27b,
0,1006,is-not-biased,90,gemma3:27b,
123,1636,is-not-biased,90,gemma3:27b,
244,692,is-not-biased,90,gemma3:27b,
266,1007,is-not-biased,85,gemma3:27b,
127,1637,is-not-biased,95,gemma3:27b,
183,693,is-not-biased,95,gemma3:27b,
95,1008,is-biased,75,gemma3:27b,
286,1638,is-not-biased,95,gemma3:27b,
28,694,is-not-biased,90,gemma3:27b,
112,1009,is-not-biased,85,gemma3:27b,
240,695,is-not-biased,95,gemma3:27b,
32,1639,is-not-biased,95,gemma3:27b,
119,1640,is-not-biased,90,gemma3:27b,
16,1010,is-not-biased,95,gemma3:27b,
49,696,is-not-biased,90,gemma3:27b,
