article_id,index,source,llm_assessment,llm_confidence,llm_model,llm_error
24,1145,BBC,is-not-biased,95,qwen3:30b,
129,1208,CNN,is-not-biased,95,qwen3:30b,
233,956,FOX,is-not-biased,95,qwen3:30b,
145,1334,CNN,is-not-biased,95,qwen3:30b,
194,893,FOX,is-not-biased,95,qwen3:30b,
33,31,BBC,is-not-biased,95,qwen3:30b,
41,1397,BBC,is-not-biased,90,qwen3:30b,
90,831,BBC,is-not-biased,90,qwen3:30b,
254,830,FOX,is-biased,90,qwen3:30b,
76,957,BBC,is-not-biased,95,qwen3:30b,
133,1209,CNN,is-not-biased,95,qwen3:30b,
245,894,FOX,is-not-biased,90,qwen3:30b,
251,1146,FOX,is-not-biased,95,qwen3:30b,
130,1335,CNN,is-not-biased,90,qwen3:30b,
100,32,BBC,is-not-biased,90,qwen3:30b,
160,895,CNN,is-not-biased,90,qwen3:30b,
211,1398,FOX,is-not-biased,95,qwen3:30b,
105,832,BBC,is-not-biased,95,qwen3:30b,
105,958,BBC,is-not-biased,95,qwen3:30b,
166,1210,CNN,is-not-biased,95,qwen3:30b,
239,1399,FOX,is-not-biased,95,qwen3:30b,
74,1211,BBC,is-not-biased,95,qwen3:30b,
242,1147,FOX,is-not-biased,90,qwen3:30b,
168,34,CNN,is-not-biased,95,qwen3:30b,
76,896,BBC,is-not-biased,90,qwen3:30b,
286,833,FOX,is-not-biased,95,qwen3:30b,
279,1336,FOX,is-not-biased,95,qwen3:30b,
20,1337,BBC,is-not-biased,95,qwen3:30b,
267,1148,FOX,is-not-biased,95,qwen3:30b,
162,959,CNN,is-not-biased,90,qwen3:30b,
125,1400,CNN,is-not-biased,95,qwen3:30b,
48,35,BBC,is-not-biased,95,qwen3:30b,
180,834,FOX,is-not-biased,95,qwen3:30b,
120,1149,CNN,is-not-biased,95,qwen3:30b,
274,960,FOX,is-not-biased,95,qwen3:30b,
206,897,FOX,is-not-biased,95,qwen3:30b,
266,1212,FOX,is-not-biased,95,qwen3:30b,
7,36,BBC,is-not-biased,95,qwen3:30b,
179,1338,FOX,is-not-biased,90,qwen3:30b,
114,961,CNN,is-not-biased,95,qwen3:30b,
227,835,FOX,is-not-biased,95,qwen3:30b,
194,1401,FOX,is-not-biased,95,qwen3:30b,
133,1213,CNN,is-not-biased,90,qwen3:30b,
36,1150,BBC,is-not-biased,95,qwen3:30b,
105,1339,BBC,is-not-biased,95,qwen3:30b,
2,1402,BBC,is-not-biased,100,qwen3:30b,
165,898,CNN,is-not-biased,90,qwen3:30b,
109,836,BBC,is-not-biased,95,qwen3:30b,
