Model,Model_Display,Condition,N,Accuracy,Kappa,Bias_Prediction_Rate,Mean_Confidence
gemini-2.5-flash-lite,Gemini 2.5,Direct,215,0.4,-0.0325378801980567,0.22325581395348837,91.23255813953489
gemini-2.5-flash-lite,Gemini 2.5,CoT,215,0.4558139534883721,0.05909855994015345,0.23255813953488372,93.06046511627908
gemini-2.5-flash-lite,Gemini 2.5,Chained CoT,215,0.49767441860465117,0.012839044298954105,0.4697674418604651,83.44186046511628
gemma3_27b,Gemma3 27B,Direct,218,0.5321100917431193,0.11205175305486781,0.40825688073394495,82.31651376146789
gemma3_27b,Gemma3 27B,CoT,218,0.5963302752293578,0.061172555544680485,0.7385321100917431,76.39908256880734
gemma3_27b,Gemma3 27B,Chained CoT,218,0.6467889908256881,,1.0,80.5045871559633
gpt-4o-mini,GPT-4o mini,Direct,218,0.5,0.08162634304707417,0.3486238532110092,84.12844036697248
gpt-4o-mini,GPT-4o mini,CoT,218,0.5275229357798165,0.07253201156546873,0.46788990825688076,79.26605504587155
gpt-4o-mini,GPT-4o mini,Chained CoT,218,0.6467889908256881,,1.0,81.19266055045871
gpt-5.4-mini,GPT-5.4 mini,Direct,218,0.4908256880733945,0.1212869489432783,0.22935779816513763,87.64220183486239
gpt-5.4-mini,GPT-5.4 mini,CoT,218,0.518348623853211,0.09746865389164894,0.3853211009174312,84.20183486238533
gpt-5.4-mini,GPT-5.4 mini,Chained CoT,218,0.6330275229357798,0.01724332243885962,0.9311926605504587,80.98165137614679
llama3.2_3b,Llama 3.2 3B,Direct,218,0.5688073394495413,0.07801673715468371,0.6100917431192661,73.69266055045871
llama3.2_3b,Llama 3.2 3B,CoT,218,0.6009174311926605,0.16353532680603333,0.5779816513761468,71.5137614678899
llama3.2_3b,Llama 3.2 3B,Chained CoT,218,0.6192660550458715,0.019295392953929458,0.8807339449541285,73.9908256880734
llama4_scout,Llama 4 Scout,Direct,218,0.463302752293578,-0.01593244642714886,0.4036697247706422,79.95412844036697
llama4_scout,Llama 4 Scout,CoT,218,0.463302752293578,0.08652675309791558,0.2018348623853211,74.55045871559633
llama4_scout,Llama 4 Scout,Chained CoT,218,0.481651376146789,0.05725220053578273,0.3302752293577982,74.09633027522936
phi4-mini,Phi4 mini,Direct,218,0.42660550458715596,-0.0531807992579425,0.3486238532110092,30.013761467889907
phi4-mini,Phi4 mini,CoT,218,0.42660550458715596,-0.017930519237952858,0.28440366972477066,82.8440366972477
phi4-mini,Phi4 mini,Chained CoT,218,0.5871559633027523,-0.05246218216929521,0.8669724770642202,81.30733944954129
qwen3_30b,Qwen3 30B,Direct,218,0.42201834862385323,0.06957523203035021,0.0871559633027523,92.79816513761467
qwen3_30b,Qwen3 30B,CoT,218,0.5,0.1330901130974097,0.23853211009174313,89.55045871559633
qwen3_30b,Qwen3 30B,Chained CoT,218,0.6422018348623854,0.11224809439281613,0.8302752293577982,93.09633027522936
qwen3_4b,Qwen3 4B,Direct,218,0.40825688073394495,0.05763688760806929,0.06422018348623854,91.69724770642202
qwen3_4b,Qwen3 4B,CoT,218,0.4724770642201835,0.11029881467811775,0.1834862385321101,88.77981651376147
qwen3_4b,Qwen3 4B,Chained CoT,218,0.555045871559633,-0.0003784653231149182,0.6880733944954128,85.16055045871559
r1-1776_latest,R1-1776,Direct,218,0.5504587155963303,0.04972867182634999,0.591743119266055,84.6559633027523
r1-1776_latest,R1-1776,CoT,218,0.5642201834862385,0.10183016740393791,0.5504587155963303,76.65137614678899
r1-1776_latest,R1-1776,Chained CoT,218,0.6467889908256881,0.07738814993954057,0.8990825688073395,78.25688073394495
