article_id,index,source,politics,llm_assessment,llm_confidence,llm_model,llm_error
7,36,BBC,Conservative,is-not-biased,80,llama3.2:3b,
127,1151,CNN,Liberal,is-biased,60,llama3.2:3b,
54,1782,BBC,Independent,is-not-biased,80,llama3.2:3b,
277,270,FOX,Other,is-not-biased,90,llama3.2:3b,
115,1781,CNN,Independent,is-biased,30,llama3.2:3b,
98,38,BBC,Conservative,is-biased,30,llama3.2:3b,
95,1152,BBC,Conservative,is-not-biased,80,llama3.2:3b,
128,269,CNN,Conservative,is-not-biased,80,llama3.2:3b,
152,39,CNN,Independent,is-biased,80,llama3.2:3b,
131,271,CNN,Liberal,is-biased,60,llama3.2:3b,
210,1153,FOX,Liberal,is-biased,60,llama3.2:3b,
193,1783,FOX,Conservative,is-biased,60,llama3.2:3b,
262,40,FOX,Independent,is-biased,30,llama3.2:3b,
94,272,BBC,Liberal,is-biased,20,llama3.2:3b,
135,1154,CNN,Conservative,is-not-biased,80,llama3.2:3b,
111,1784,CNN,Independent,is-biased,60,llama3.2:3b,
270,41,FOX,Conservative,is-biased,80,llama3.2:3b,
121,1155,CNN,Conservative,is-not-biased,80,llama3.2:3b,
157,273,CNN,Conservative,is-biased,60,llama3.2:3b,
116,1785,CNN,Liberal,is-biased,80,llama3.2:3b,
223,42,FOX,Liberal,is-biased,60,llama3.2:3b,
176,1156,FOX,Conservative,is-biased,80,llama3.2:3b,
208,274,FOX,Liberal,is-not-biased,80,llama3.2:3b,
278,1786,FOX,Conservative,is-biased,80,llama3.2:3b,
208,43,FOX,Conservative,is-not-biased,80,llama3.2:3b,
262,275,FOX,Liberal,is-biased,80,llama3.2:3b,
107,1158,BBC,Conservative,is-not-biased,90,llama3.2:3b,
92,276,BBC,Liberal,is-not-biased,90,llama3.2:3b,
274,1157,FOX,Liberal,is-biased,80,llama3.2:3b,
76,44,BBC,Conservative,is-not-biased,90,llama3.2:3b,
276,1787,FOX,Conservative,is-biased,80,llama3.2:3b,
112,1788,CNN,Conservative,is-biased,80,llama3.2:3b,
227,277,FOX,Liberal,is-biased,80,llama3.2:3b,
9,45,BBC,Conservative,is-not-biased,80,llama3.2:3b,
112,1789,CNN,Liberal,is-biased,60,llama3.2:3b,
102,1160,BBC,Conservative,is-biased,80,llama3.2:3b,
122,1159,CNN,Conservative,is-not-biased,80,llama3.2:3b,
143,46,CNN,Conservative,is-biased,80,llama3.2:3b,
141,278,CNN,Liberal,is-not-biased,90,llama3.2:3b,
54,1790,BBC,Independent,is-not-biased,80,llama3.2:3b,
7,47,BBC,Conservative,is-not-biased,80,llama3.2:3b,
279,279,FOX,Conservative,is-biased,80,llama3.2:3b,
200,1161,FOX,Conservative,is-not-biased,80,llama3.2:3b,
193,1791,FOX,Liberal,is-biased,60,llama3.2:3b,
271,48,FOX,Conservative,is-biased,60,llama3.2:3b,
152,280,CNN,Liberal,is-biased,80,llama3.2:3b,
157,1162,CNN,Conservative,is-biased,60,llama3.2:3b,
50,1792,BBC,Other,is-biased,80,llama3.2:3b,
287,281,FOX,Liberal,is-biased,60,llama3.2:3b,
133,49,CNN,Conservative,is-biased,30,llama3.2:3b,
147,1163,CNN,Liberal,is-biased,60,llama3.2:3b,
274,50,FOX,Conservative,is-biased,80,llama3.2:3b,
276,1793,FOX,Liberal,is-biased,80,llama3.2:3b,
98,282,BBC,Liberal,is-biased,20,llama3.2:3b,
50,1794,BBC,Liberal,is-biased,80,llama3.2:3b,
114,1164,CNN,Liberal,is-biased,60,llama3.2:3b,
123,51,CNN,Conservative,is-biased,60,llama3.2:3b,
63,1165,BBC,Conservative,is-not-biased,90,llama3.2:3b,
130,283,CNN,Independent,is-biased,70,llama3.2:3b,
52,1795,BBC,Conservative,is-biased,80,llama3.2:3b,
130,52,CNN,Liberal,is-biased,80,llama3.2:3b,
105,284,BBC,Conservative,is-biased,80,llama3.2:3b,
113,1796,CNN,Conservative,is-not-biased,80,llama3.2:3b,
151,1166,CNN,Conservative,is-not-biased,80,llama3.2:3b,
244,285,FOX,Independent,is-biased,60,llama3.2:3b,
205,1167,FOX,Other,is-biased,60,llama3.2:3b,
205,1797,FOX,Other,is-biased,60,llama3.2:3b,
116,286,CNN,Liberal,is-biased,80,llama3.2:3b,
157,1168,CNN,Liberal,is-biased,60,llama3.2:3b,
276,1798,FOX,Independent,is-biased,60,llama3.2:3b,
181,287,FOX,Conservative,is-not-biased,80,llama3.2:3b,
82,1169,BBC,Liberal,is-biased,60,llama3.2:3b,
