article_id,index,llm_assessment,llm_confidence,llm_model,llm_error
157,0,is-not-biased,84,gpt-5.4-mini,
230,1,is-not-biased,96,gpt-5.4-mini,
284,2,is-biased,92,gpt-5.4-mini,
98,3,is-not-biased,92,gpt-5.4-mini,
255,4,is-not-biased,86,gpt-5.4-mini,
262,5,is-not-biased,86,gpt-5.4-mini,
180,6,is-not-biased,86,gpt-5.4-mini,
136,7,is-not-biased,92,gpt-5.4-mini,
171,8,is-not-biased,84,gpt-5.4-mini,
279,9,is-not-biased,84,gpt-5.4-mini,
227,10,is-not-biased,86,gpt-5.4-mini,
57,11,is-not-biased,98,gpt-5.4-mini,
210,12,is-not-biased,86,gpt-5.4-mini,
98,13,is-not-biased,92,gpt-5.4-mini,
271,14,is-not-biased,92,gpt-5.4-mini,
112,15,is-not-biased,84,gpt-5.4-mini,
112,16,is-not-biased,84,gpt-5.4-mini,
71,17,is-biased,84,gpt-5.4-mini,
152,18,is-biased,84,gpt-5.4-mini,
145,19,is-biased,84,gpt-5.4-mini,
20,20,is-not-biased,84,gpt-5.4-mini,
123,21,is-not-biased,92,gpt-5.4-mini,
123,22,is-not-biased,92,gpt-5.4-mini,
144,23,is-not-biased,92,gpt-5.4-mini,
169,24,is-not-biased,78,gpt-5.4-mini,
87,25,is-not-biased,84,gpt-5.4-mini,
163,26,is-not-biased,92,gpt-5.4-mini,
132,27,is-not-biased,84,gpt-5.4-mini,
203,28,is-not-biased,96,gpt-5.4-mini,
115,29,is-not-biased,86,gpt-5.4-mini,
20,30,is-not-biased,84,gpt-5.4-mini,
33,31,is-not-biased,94,gpt-5.4-mini,
100,32,is-not-biased,84,gpt-5.4-mini,
175,33,is-biased,84,gpt-5.4-mini,
168,34,is-biased,78,gpt-5.4-mini,
48,35,is-not-biased,84,gpt-5.4-mini,
7,36,is-not-biased,86,gpt-5.4-mini,
230,37,is-not-biased,96,gpt-5.4-mini,
98,38,is-not-biased,92,gpt-5.4-mini,
152,39,is-biased,84,gpt-5.4-mini,
262,40,is-not-biased,92,gpt-5.4-mini,
270,41,is-not-biased,84,gpt-5.4-mini,
223,42,is-not-biased,92,gpt-5.4-mini,
208,43,is-not-biased,86,gpt-5.4-mini,
76,44,is-not-biased,86,gpt-5.4-mini,
9,45,is-biased,84,gpt-5.4-mini,
143,46,is-biased,86,gpt-5.4-mini,
7,47,is-not-biased,84,gpt-5.4-mini,
271,48,is-not-biased,92,gpt-5.4-mini,
133,49,is-not-biased,84,gpt-5.4-mini,
274,50,is-not-biased,78,gpt-5.4-mini,
123,51,is-not-biased,86,gpt-5.4-mini,
130,52,is-not-biased,84,gpt-5.4-mini,
239,53,is-not-biased,92,gpt-5.4-mini,
132,54,is-not-biased,84,gpt-5.4-mini,
136,55,is-not-biased,92,gpt-5.4-mini,
177,56,is-biased,84,gpt-5.4-mini,
134,57,is-not-biased,84,gpt-5.4-mini,
277,58,is-not-biased,96,gpt-5.4-mini,
166,59,is-not-biased,86,gpt-5.4-mini,
106,60,is-not-biased,86,gpt-5.4-mini,
267,61,is-not-biased,96,gpt-5.4-mini,
54,62,is-not-biased,92,gpt-5.4-mini,
123,63,is-not-biased,86,gpt-5.4-mini,
43,64,is-not-biased,84,gpt-5.4-mini,
86,65,is-not-biased,94,gpt-5.4-mini,
167,66,is-not-biased,84,gpt-5.4-mini,
105,67,is-not-biased,86,gpt-5.4-mini,
101,68,is-not-biased,92,gpt-5.4-mini,
22,69,is-not-biased,92,gpt-5.4-mini,
97,70,is-not-biased,92,gpt-5.4-mini,
94,71,is-not-biased,86,gpt-5.4-mini,
105,72,is-not-biased,86,gpt-5.4-mini,
105,73,is-not-biased,86,gpt-5.4-mini,
25,74,is-not-biased,84,gpt-5.4-mini,
157,75,is-biased,84,gpt-5.4-mini,
52,76,is-not-biased,84,gpt-5.4-mini,
168,77,is-not-biased,78,gpt-5.4-mini,
140,78,is-not-biased,84,gpt-5.4-mini,
118,79,is-not-biased,86,gpt-5.4-mini,
121,80,is-biased,78,gpt-5.4-mini,
225,81,is-not-biased,93,gpt-5.4-mini,
251,82,is-not-biased,96,gpt-5.4-mini,
237,83,is-biased,84,gpt-5.4-mini,
157,84,is-biased,84,gpt-5.4-mini,
29,85,is-not-biased,89,gpt-5.4-mini,
203,86,is-not-biased,96,gpt-5.4-mini,
89,87,is-not-biased,84,gpt-5.4-mini,
168,88,is-not-biased,78,gpt-5.4-mini,
201,89,is-not-biased,92,gpt-5.4-mini,
104,90,is-biased,84,gpt-5.4-mini,
190,91,is-not-biased,86,gpt-5.4-mini,
204,92,is-biased,84,gpt-5.4-mini,
76,93,is-not-biased,84,gpt-5.4-mini,
208,94,is-not-biased,86,gpt-5.4-mini,
229,95,is-not-biased,78,gpt-5.4-mini,
99,96,is-not-biased,96,gpt-5.4-mini,
177,97,is-biased,86,gpt-5.4-mini,
159,98,is-biased,92,gpt-5.4-mini,
221,99,is-not-biased,92,gpt-5.4-mini,
136,100,is-not-biased,92,gpt-5.4-mini,
106,101,is-not-biased,92,gpt-5.4-mini,
157,102,is-biased,84,gpt-5.4-mini,
123,103,is-not-biased,86,gpt-5.4-mini,
2,104,is-not-biased,96,gpt-5.4-mini,
59,105,is-not-biased,84,gpt-5.4-mini,
187,106,is-not-biased,92,gpt-5.4-mini,
69,107,is-not-biased,84,gpt-5.4-mini,
128,108,is-not-biased,92,gpt-5.4-mini,
13,109,is-not-biased,84,gpt-5.4-mini,
7,110,is-not-biased,84,gpt-5.4-mini,
160,111,is-not-biased,84,gpt-5.4-mini,
92,112,is-not-biased,94,gpt-5.4-mini,
208,113,is-not-biased,86,gpt-5.4-mini,
130,114,is-not-biased,84,gpt-5.4-mini,
116,115,is-not-biased,86,gpt-5.4-mini,
69,116,is-not-biased,84,gpt-5.4-mini,
60,117,is-not-biased,89,gpt-5.4-mini,
181,118,is-not-biased,84,gpt-5.4-mini,
163,119,is-not-biased,92,gpt-5.4-mini,
95,120,is-not-biased,84,gpt-5.4-mini,
235,121,is-biased,78,gpt-5.4-mini,
156,122,is-not-biased,86,gpt-5.4-mini,
7,123,is-not-biased,84,gpt-5.4-mini,
277,124,is-not-biased,96,gpt-5.4-mini,
161,125,is-not-biased,84,gpt-5.4-mini,
146,126,is-not-biased,92,gpt-5.4-mini,
211,127,is-not-biased,92,gpt-5.4-mini,
197,128,is-biased,92,gpt-5.4-mini,
123,129,is-not-biased,86,gpt-5.4-mini,
119,130,is-not-biased,86,gpt-5.4-mini,
69,131,is-not-biased,84,gpt-5.4-mini,
247,132,is-biased,84,gpt-5.4-mini,
142,133,is-not-biased,84,gpt-5.4-mini,
5,134,is-not-biased,84,gpt-5.4-mini,
224,135,is-not-biased,84,gpt-5.4-mini,
272,136,is-biased,84,gpt-5.4-mini,
178,137,is-not-biased,92,gpt-5.4-mini,
181,138,is-not-biased,86,gpt-5.4-mini,
263,139,is-not-biased,84,gpt-5.4-mini,
121,140,is-biased,78,gpt-5.4-mini,
129,141,is-not-biased,86,gpt-5.4-mini,
123,142,is-not-biased,86,gpt-5.4-mini,
86,143,is-not-biased,94,gpt-5.4-mini,
184,144,is-biased,78,gpt-5.4-mini,
185,145,is-biased,86,gpt-5.4-mini,
160,146,is-not-biased,84,gpt-5.4-mini,
237,147,is-biased,84,gpt-5.4-mini,
141,148,is-not-biased,84,gpt-5.4-mini,
141,149,is-not-biased,86,gpt-5.4-mini,
161,150,is-not-biased,84,gpt-5.4-mini,
165,151,is-not-biased,84,gpt-5.4-mini,
179,152,is-not-biased,78,gpt-5.4-mini,
121,153,is-biased,84,gpt-5.4-mini,
66,154,is-not-biased,84,gpt-5.4-mini,
223,155,is-not-biased,86,gpt-5.4-mini,
180,156,is-not-biased,86,gpt-5.4-mini,
211,157,is-not-biased,92,gpt-5.4-mini,
245,158,is-biased,86,gpt-5.4-mini,
229,159,is-biased,78,gpt-5.4-mini,
21,160,is-not-biased,86,gpt-5.4-mini,
253,161,is-biased,92,gpt-5.4-mini,
233,162,is-not-biased,84,gpt-5.4-mini,
128,163,is-not-biased,86,gpt-5.4-mini,
202,164,is-not-biased,84,gpt-5.4-mini,
208,165,is-not-biased,84,gpt-5.4-mini,
174,166,is-not-biased,86,gpt-5.4-mini,
174,167,is-not-biased,86,gpt-5.4-mini,
175,168,is-biased,84,gpt-5.4-mini,
271,169,is-not-biased,92,gpt-5.4-mini,
1,170,is-not-biased,84,gpt-5.4-mini,
176,171,is-not-biased,86,gpt-5.4-mini,
90,172,is-biased,86,gpt-5.4-mini,
125,173,is-not-biased,86,gpt-5.4-mini,
43,174,is-biased,84,gpt-5.4-mini,
86,175,is-not-biased,94,gpt-5.4-mini,
226,176,is-not-biased,84,gpt-5.4-mini,
18,177,is-not-biased,92,gpt-5.4-mini,
171,178,is-not-biased,84,gpt-5.4-mini,
114,179,is-not-biased,84,gpt-5.4-mini,
174,180,is-not-biased,86,gpt-5.4-mini,
210,181,is-not-biased,84,gpt-5.4-mini,
111,182,is-biased,84,gpt-5.4-mini,
10,183,is-not-biased,93,gpt-5.4-mini,
118,184,is-not-biased,84,gpt-5.4-mini,
159,185,is-biased,92,gpt-5.4-mini,
33,186,is-not-biased,94,gpt-5.4-mini,
286,187,is-not-biased,94,gpt-5.4-mini,
22,188,is-not-biased,92,gpt-5.4-mini,
136,189,is-not-biased,92,gpt-5.4-mini,
235,190,is-biased,84,gpt-5.4-mini,
252,191,is-not-biased,84,gpt-5.4-mini,
71,192,is-biased,84,gpt-5.4-mini,
182,193,is-biased,92,gpt-5.4-mini,
267,194,is-not-biased,96,gpt-5.4-mini,
87,195,is-not-biased,84,gpt-5.4-mini,
136,196,is-not-biased,92,gpt-5.4-mini,
20,197,is-not-biased,84,gpt-5.4-mini,
111,198,is-biased,84,gpt-5.4-mini,
65,199,is-not-biased,84,gpt-5.4-mini,
266,200,is-not-biased,86,gpt-5.4-mini,
93,201,is-not-biased,92,gpt-5.4-mini,
140,202,is-not-biased,84,gpt-5.4-mini,
20,203,is-not-biased,84,gpt-5.4-mini,
106,204,is-not-biased,86,gpt-5.4-mini,
242,205,is-not-biased,86,gpt-5.4-mini,
