article_id,index,source,age,gender,llm_assessment,llm_confidence,llm_model,llm_error
128,710,CNN,44,Female,is-not-biased,90,llama4:scout,
239,332,FOX,54,Male,is-not-biased,80,llama4:scout,
133,1213,CNN,30,Female,is-biased,70,llama4:scout,
59,1969,BBC,36,Female,is-not-biased,80,llama4:scout,
167,1214,CNN,34,Female,is-not-biased,80,llama4:scout,
2,1970,BBC,35,Male,is-not-biased,80,llama4:scout,
157,711,CNN,25,Female,is-biased,60,llama4:scout,
3,333,BBC,35,Female,is-not-biased,90,llama4:scout,
100,1215,BBC,44,Female,is-not-biased,80,llama4:scout,
116,1971,CNN,34,Female,is-biased,70,llama4:scout,
205,334,FOX,28,Female,is-not-biased,80,llama4:scout,
146,712,CNN,26,Female,is-not-biased,90,llama4:scout,
229,1216,FOX,27,Female,is-not-biased,80,llama4:scout,
111,1972,CNN,48,Female,is-biased,80,llama4:scout,
22,335,BBC,35,Male,is-not-biased,80,llama4:scout,
277,713,FOX,25,Male,is-not-biased,90,llama4:scout,
167,1217,CNN,24,Female,is-not-biased,80,llama4:scout,
115,1973,CNN,28,Male,is-not-biased,80,llama4:scout,
2,336,BBC,34,Female,is-not-biased,80,llama4:scout,
197,714,FOX,31,Female,is-biased,70,llama4:scout,
225,1218,FOX,25,Male,is-not-biased,90,llama4:scout,
45,1974,BBC,30,Male,is-not-biased,80,llama4:scout,
241,337,FOX,53,Male,is-not-biased,80,llama4:scout,
188,715,FOX,29,Female,is-biased,80,llama4:scout,
92,1219,BBC,42,Male,is-not-biased,80,llama4:scout,
123,716,CNN,25,Female,is-not-biased,80,llama4:scout,
123,1220,CNN,27,Female,is-not-biased,80,llama4:scout,
36,338,BBC,50,Male,is-not-biased,90,llama4:scout,
112,1975,CNN,28,Male,is-biased,60,llama4:scout,
57,1976,BBC,21,Female,is-not-biased,90,llama4:scout,
185,1221,FOX,33,Male,is-not-biased,80,llama4:scout,
33,717,BBC,23,Male,is-not-biased,80,llama4:scout,
75,339,BBC,66,Female,is-not-biased,90,llama4:scout,
269,1977,FOX,36,Female,is-not-biased,80,llama4:scout,
62,340,BBC,24,Male,is-not-biased,80,llama4:scout,
90,1222,BBC,30,Male,is-biased,80,llama4:scout,
104,718,BBC,29,Male,is-biased,70,llama4:scout,
259,1978,FOX,37,Female,is-biased,80,llama4:scout,
101,719,BBC,25,Male,is-not-biased,80,llama4:scout,
140,1223,CNN,48,Male,is-biased,70,llama4:scout,
136,341,CNN,27,Male,is-not-biased,80,llama4:scout,
211,1979,FOX,62,Male,is-biased,70,llama4:scout,
210,720,FOX,38,Male,is-not-biased,80,llama4:scout,
265,1224,FOX,25,Female,is-biased,80,llama4:scout,
73,342,BBC,25,Female,is-not-biased,80,llama4:scout,
245,1980,FOX,30,Male,is-biased,80,llama4:scout,
98,1225,BBC,26,Female,is-not-biased,80,llama4:scout,
143,721,CNN,25,Male,is-biased,70,llama4:scout,
114,1981,CNN,50,Female,is-not-biased,90,llama4:scout,
150,343,CNN,32,Male,is-biased,80,llama4:scout,
203,344,FOX,34,Male,is-not-biased,100,llama4:scout,
54,1982,BBC,34,Female,is-not-biased,80,llama4:scout,
278,722,FOX,28,Male,is-biased,70,llama4:scout,
101,1226,BBC,42,Female,is-not-biased,80,llama4:scout,
129,345,CNN,39,Female,is-not-biased,80,llama4:scout,
144,1227,CNN,38,Female,is-not-biased,90,llama4:scout,
244,723,FOX,32,Male,is-not-biased,80,llama4:scout,
110,1983,CNN,36,Female,is-biased,70,llama4:scout,
275,346,FOX,61,Male,is-biased,80,llama4:scout,
63,724,BBC,31,Female,is-not-biased,80,llama4:scout,
195,1228,FOX,48,Female,is-not-biased,80,llama4:scout,
19,1984,BBC,32,Male,is-not-biased,90,llama4:scout,
155,347,CNN,52,Male,is-not-biased,100,llama4:scout,
231,725,FOX,33,Male,is-not-biased,80,llama4:scout,
128,1229,CNN,32,Female,is-not-biased,90,llama4:scout,
193,1985,FOX,35,Male,is-not-biased,80,llama4:scout,
93,348,BBC,53,Female,is-not-biased,80,llama4:scout,
58,726,BBC,29,Female,is-not-biased,80,llama4:scout,
167,1230,CNN,35,Female,is-not-biased,80,llama4:scout,
114,1986,CNN,40,Male,is-not-biased,80,llama4:scout,
146,349,CNN,42,Male,is-not-biased,80,llama4:scout,
161,1231,CNN,43,Male,is-not-biased,80,llama4:scout,
268,1987,FOX,39,Male,is-biased,80,llama4:scout,
166,350,CNN,29,Male,is-biased,70,llama4:scout,
150,727,CNN,50,Male,is-biased,80,llama4:scout,
80,728,BBC,38,Female,is-not-biased,80,llama4:scout,
114,1232,CNN,31,Female,is-not-biased,90,llama4:scout,
193,1988,FOX,37,Male,is-not-biased,80,llama4:scout,
224,729,FOX,25,Female,is-not-biased,80,llama4:scout,
43,351,BBC,58,Male,is-not-biased,80,llama4:scout,
212,1233,FOX,32,Female,is-not-biased,80,llama4:scout,
211,1989,FOX,37,Female,is-biased,70,llama4:scout,
173,730,FOX,40,Male,is-not-biased,80,llama4:scout,
195,352,FOX,25,Female,is-not-biased,80,llama4:scout,
271,1234,FOX,35,Other,is-not-biased,80,llama4:scout,
269,1990,FOX,33,Male,is-not-biased,80,llama4:scout,
157,353,CNN,41,Female,is-biased,60,llama4:scout,
88,731,BBC,69,Female,is-biased,70,llama4:scout,
114,1991,CNN,42,Male,is-not-biased,90,llama4:scout,
143,1235,CNN,36,Male,is-biased,70,llama4:scout,
78,732,BBC,27,Male,is-not-biased,80,llama4:scout,
152,354,CNN,36,Female,is-biased,80,llama4:scout,
144,1236,CNN,default,Female,is-not-biased,90,llama4:scout,
268,1992,FOX,27,Male,is-biased,80,llama4:scout,
99,355,BBC,34,Female,is-not-biased,100,llama4:scout,
261,1237,FOX,33,Male,is-not-biased,80,llama4:scout,
173,733,FOX,23,Male,is-not-biased,80,llama4:scout,
62,1993,BBC,25,Female,is-not-biased,80,llama4:scout,
246,1238,FOX,25,Male,is-not-biased,80,llama4:scout,
127,734,CNN,47,Female,is-not-biased,80,llama4:scout,
42,1994,BBC,36,Female,is-not-biased,80,llama4:scout,
20,356,BBC,25,Male,is-biased,60,llama4:scout,
160,357,CNN,32,Male,is-not-biased,80,llama4:scout,
149,735,CNN,24,Female,is-not-biased,90,llama4:scout,
104,1239,BBC,29,Male,is-biased,70,llama4:scout,
58,1995,BBC,49,Male,is-not-biased,80,llama4:scout,
123,358,CNN,59,Male,is-not-biased,80,llama4:scout,
86,736,BBC,41,Male,is-not-biased,90,llama4:scout,
155,1240,CNN,31,Male,is-not-biased,100,llama4:scout,
115,1996,CNN,63,Male,is-not-biased,90,llama4:scout,
116,359,CNN,62,Male,is-biased,70,llama4:scout,
126,737,CNN,33,Female,is-not-biased,80,llama4:scout,
204,1241,FOX,65,Female,is-biased,80,llama4:scout,
57,1997,BBC,29,Female,is-not-biased,100,llama4:scout,
263,360,FOX,26,Female,is-not-biased,80,llama4:scout,
29,1242,BBC,48,Male,is-biased,80,llama4:scout,
156,738,CNN,55,Male,is-not-biased,80,llama4:scout,
278,1998,FOX,25,Male,is-biased,70,llama4:scout,
171,361,CNN,31,Male,is-biased,70,llama4:scout,
116,1999,CNN,36,Female,is-biased,70,llama4:scout,
3,739,BBC,60,Female,is-not-biased,90,llama4:scout,
25,362,BBC,24,Male,is-biased,70,llama4:scout,
20,1243,BBC,23,Male,is-biased,60,llama4:scout,
141,1244,CNN,32,Male,is-not-biased,80,llama4:scout,
136,740,CNN,31,Female,is-not-biased,80,llama4:scout,
259,2000,FOX,48,Female,is-biased,80,llama4:scout,
102,741,BBC,62,Male,is-not-biased,80,llama4:scout,
74,1245,BBC,37,Male,is-not-biased,80,llama4:scout,
110,2001,CNN,28,Male,is-biased,70,llama4:scout,
122,363,CNN,34,Female,is-biased,70,llama4:scout,
114,364,CNN,21,Female,is-not-biased,80,llama4:scout,
113,742,CNN,31,Male,is-biased,70,llama4:scout,
