article_id,index,politics,llm_assessment,llm_confidence,llm_model,llm_error
102,315,Independent,is-not-biased,95,qwen3:4b,
95,1008,Liberal,is-not-biased,95,qwen3:4b,
112,630,Independent,is-not-biased,95,qwen3:4b,
19,316,Liberal,is-not-biased,95,qwen3:4b,
105,631,Liberal,is-not-biased,90,qwen3:4b,
246,253,Independent,is-biased,85,qwen3:4b,
112,1009,Liberal,is-not-biased,95,qwen3:4b,
0,1827,Conservative,is-not-biased,90,qwen3:4b,
210,317,Conservative,is-not-biased,90,qwen3:4b,
199,255,Conservative,is-not-biased,95,qwen3:4b,
16,1010,Liberal,is-not-biased,95,qwen3:4b,
116,1828,Liberal,is-not-biased,95,qwen3:4b,
226,318,Conservative,is-not-biased,95,qwen3:4b,
181,254,Liberal,is-not-biased,90,qwen3:4b,
217,632,Independent,is-not-biased,90,qwen3:4b,
194,633,Liberal,is-not-biased,95,qwen3:4b,
94,1011,Independent,is-not-biased,95,qwen3:4b,
205,1829,Liberal,is-not-biased,90,qwen3:4b,
261,319,Liberal,is-not-biased,95,qwen3:4b,
22,634,Conservative,is-not-biased,95,qwen3:4b,
205,1830,Independent,is-not-biased,95,qwen3:4b,
101,1012,Conservative,is-not-biased,95,qwen3:4b,
284,256,Conservative,is-not-biased,90,qwen3:4b,
102,320,Independent,is-not-biased,90,qwen3:4b,
154,257,Conservative,is-not-biased,95,qwen3:4b,
38,1013,Liberal,is-not-biased,95,qwen3:4b,
59,1831,Independent,is-not-biased,90,qwen3:4b,
50,1832,Liberal,is-not-biased,95,qwen3:4b,
240,258,Conservative,is-not-biased,95,qwen3:4b,
187,1014,Independent,is-not-biased,95,qwen3:4b,
63,259,Independent,is-not-biased,95,qwen3:4b,
142,636,Other,is-not-biased,90,qwen3:4b,
0,321,Conservative,is-not-biased,90,qwen3:4b,
159,635,Conservative,is-not-biased,85,qwen3:4b,
215,1015,Liberal,is-not-biased,95,qwen3:4b,
205,1833,Independent,is-not-biased,95,qwen3:4b,
119,322,Conservative,is-not-biased,90,qwen3:4b,
121,260,Liberal,is-not-biased,95,qwen3:4b,
109,638,Independent,is-not-biased,95,qwen3:4b,
193,1834,Conservative,is-not-biased,95,qwen3:4b,
121,323,Other,is-not-biased,90,qwen3:4b,
195,1835,Liberal,is-not-biased,95,qwen3:4b,
121,637,Conservative,is-not-biased,85,qwen3:4b,
42,324,Liberal,is-not-biased,90,qwen3:4b,
262,1016,Conservative,is-not-biased,95,qwen3:4b,
150,639,Independent,is-not-biased,95,qwen3:4b,
72,261,Conservative,is-biased,85,qwen3:4b,
172,640,Independent,is-not-biased,95,qwen3:4b,
230,1017,Conservative,is-not-biased,100,qwen3:4b,
115,1837,Liberal,is-not-biased,95,qwen3:4b,
205,1836,Independent,is-not-biased,90,qwen3:4b,
279,262,Conservative,is-not-biased,90,qwen3:4b,
165,325,Conservative,is-not-biased,90,qwen3:4b,
180,263,Conservative,is-not-biased,95,qwen3:4b,
111,1018,Conservative,is-not-biased,95,qwen3:4b,
108,1019,Liberal,is-not-biased,95,qwen3:4b,
116,1838,Liberal,is-not-biased,90,qwen3:4b,
118,326,Conservative,is-not-biased,95,qwen3:4b,
25,264,Conservative,is-not-biased,90,qwen3:4b,
173,327,Liberal,is-not-biased,95,qwen3:4b,
153,642,Liberal,is-not-biased,95,qwen3:4b,
115,1839,Conservative,is-not-biased,95,qwen3:4b,
125,641,Conservative,is-not-biased,90,qwen3:4b,
172,643,Independent,is-not-biased,95,qwen3:4b,
205,1020,Other,is-not-biased,90,qwen3:4b,
271,329,Liberal,is-not-biased,95,qwen3:4b,
101,328,Conservative,is-not-biased,90,qwen3:4b,
58,265,Independent,is-not-biased,95,qwen3:4b,
122,1022,Liberal,is-not-biased,95,qwen3:4b,
110,1840,Independent,is-not-biased,95,qwen3:4b,
167,1021,Conservative,is-not-biased,90,qwen3:4b,
115,1841,Liberal,is-not-biased,95,qwen3:4b,
145,266,Conservative,is-not-biased,95,qwen3:4b,
161,644,Conservative,is-not-biased,95,qwen3:4b,
141,267,Conservative,is-not-biased,90,qwen3:4b,
265,1842,Independent,is-not-biased,95,qwen3:4b,
242,330,Liberal,is-not-biased,90,qwen3:4b,
203,645,Liberal,is-not-biased,95,qwen3:4b,
59,268,Liberal,is-not-biased,95,qwen3:4b,
133,331,Liberal,is-not-biased,95,qwen3:4b,
195,1023,Liberal,is-not-biased,95,qwen3:4b,
156,646,Conservative,is-not-biased,95,qwen3:4b,
151,1024,Liberal,is-not-biased,95,qwen3:4b,
112,1843,Liberal,is-not-biased,90,qwen3:4b,
115,1844,Conservative,is-not-biased,95,qwen3:4b,
239,332,Liberal,is-not-biased,90,qwen3:4b,
128,269,Conservative,is-not-biased,95,qwen3:4b,
9,1025,Conservative,is-not-biased,90,qwen3:4b,
58,647,Liberal,is-not-biased,95,qwen3:4b,
277,270,Other,is-not-biased,95,qwen3:4b,
87,648,Liberal,is-not-biased,95,qwen3:4b,
59,1845,Liberal,is-not-biased,95,qwen3:4b,
281,1026,Liberal,is-not-biased,90,qwen3:4b,
205,334,Liberal,is-not-biased,95,qwen3:4b,
131,271,Liberal,is-not-biased,95,qwen3:4b,
3,333,Liberal,is-not-biased,95,qwen3:4b,
179,649,Liberal,is-not-biased,90,qwen3:4b,
94,272,Liberal,is-not-biased,95,qwen3:4b,
86,1028,Liberal,is-not-biased,95,qwen3:4b,
265,1847,Liberal,is-not-biased,90,qwen3:4b,
138,650,Liberal,is-not-biased,90,qwen3:4b,
110,1846,Liberal,is-not-biased,95,qwen3:4b,
22,335,Conservative,is-not-biased,95,qwen3:4b,
2,336,Liberal,is-not-biased,95,qwen3:4b,
161,1027,Conservative,is-not-biased,90,qwen3:4b,
77,1029,Liberal,is-not-biased,95,qwen3:4b,
157,273,Conservative,is-not-biased,95,qwen3:4b,
192,1848,Liberal,is-not-biased,95,qwen3:4b,
7,651,Liberal,is-not-biased,90,qwen3:4b,
208,274,Liberal,is-not-biased,95,qwen3:4b,
158,652,Independent,is-not-biased,95,qwen3:4b,
193,1849,Independent,is-not-biased,95,qwen3:4b,
241,337,Conservative,is-not-biased,90,qwen3:4b,
205,1031,Liberal,is-not-biased,90,qwen3:4b,
92,276,Liberal,is-not-biased,95,qwen3:4b,
36,338,Conservative,is-not-biased,95,qwen3:4b,
59,1850,Conservative,is-not-biased,90,qwen3:4b,
262,275,Liberal,is-not-biased,95,qwen3:4b,
75,339,Independent,is-not-biased,95,qwen3:4b,
237,1030,Liberal,is-not-biased,80,qwen3:4b,
115,1851,Liberal,is-not-biased,95,qwen3:4b,
234,653,Independent,is-not-biased,90,qwen3:4b,
90,654,Conservative,is-not-biased,90,qwen3:4b,
275,1032,Conservative,is-not-biased,95,qwen3:4b,
62,340,Liberal,is-not-biased,90,qwen3:4b,
141,278,Liberal,is-not-biased,95,qwen3:4b,
115,656,Independent,is-not-biased,95,qwen3:4b,
116,655,Conservative,is-not-biased,90,qwen3:4b,
136,341,Independent,is-not-biased,95,qwen3:4b,
162,1033,Liberal,is-not-biased,90,qwen3:4b,
222,1852,Liberal,is-not-biased,95,qwen3:4b,
116,1853,Conservative,is-not-biased,90,qwen3:4b,
145,1034,Liberal,is-not-biased,90,qwen3:4b,
279,279,Conservative,is-not-biased,90,qwen3:4b,
227,277,Liberal,is-biased,75,qwen3:4b,
132,1035,Other,is-not-biased,90,qwen3:4b,
261,657,Conservative,is-not-biased,95,qwen3:4b,
73,342,Independent,is-not-biased,85,qwen3:4b,
150,343,Independent,is-not-biased,90,qwen3:4b,
152,280,Liberal,is-not-biased,90,qwen3:4b,
101,1036,Independent,is-not-biased,95,qwen3:4b,
210,659,Conservative,is-not-biased,90,qwen3:4b,
203,344,Liberal,is-not-biased,95,qwen3:4b,
159,1037,Independent,is-not-biased,95,qwen3:4b,
60,1855,Conservative,is-not-biased,95,qwen3:4b,
54,1854,Independent,is-biased,90,qwen3:4b,
140,658,Conservative,is-not-biased,90,qwen3:4b,
195,1856,Independent,is-not-biased,90,qwen3:4b,
287,281,Liberal,is-not-biased,95,qwen3:4b,
111,1857,Conservative,is-not-biased,95,qwen3:4b,
129,345,Liberal,is-not-biased,95,qwen3:4b,
244,1038,Liberal,is-not-biased,95,qwen3:4b,
130,283,Independent,is-not-biased,95,qwen3:4b,
121,660,Conservative,is-not-biased,90,qwen3:4b,
98,282,Liberal,is-not-biased,95,qwen3:4b,
155,347,Liberal,is-not-biased,95,qwen3:4b,
281,661,Conservative,is-not-biased,95,qwen3:4b,
278,1858,Independent,is-not-biased,90,qwen3:4b,
275,346,Independent,is-not-biased,90,qwen3:4b,
119,1039,Conservative,is-not-biased,90,qwen3:4b,
79,1040,Liberal,is-not-biased,100,qwen3:4b,
105,662,Independent,is-not-biased,95,qwen3:4b,
105,284,Conservative,is-not-biased,95,qwen3:4b,
244,285,Independent,is-not-biased,95,qwen3:4b,
121,663,Liberal,is-not-biased,90,qwen3:4b,
115,1041,Liberal,is-not-biased,90,qwen3:4b,
116,286,Liberal,is-not-biased,95,qwen3:4b,
116,1859,Liberal,is-not-biased,95,qwen3:4b,
146,349,Conservative,is-not-biased,95,qwen3:4b,
93,348,Independent,is-not-biased,95,qwen3:4b,
207,1860,Liberal,is-biased,90,qwen3:4b,
22,1042,Independent,is-not-biased,95,qwen3:4b,
114,1861,Liberal,is-not-biased,95,qwen3:4b,
125,665,Independent,is-not-biased,95,qwen3:4b,
166,350,Independent,is-not-biased,95,qwen3:4b,
181,287,Conservative,is-not-biased,90,qwen3:4b,
157,1043,Liberal,is-not-biased,90,qwen3:4b,
247,664,Liberal,is-not-biased,95,qwen3:4b,
145,288,Conservative,is-not-biased,95,qwen3:4b,
43,351,Liberal,is-not-biased,90,qwen3:4b,
205,1862,Other,is-not-biased,90,qwen3:4b,
58,666,Other,is-not-biased,90,qwen3:4b,
195,352,Conservative,is-not-biased,95,qwen3:4b,
267,289,Liberal,is-not-biased,95,qwen3:4b,
114,1863,Conservative,is-not-biased,90,qwen3:4b,
146,667,Liberal,is-not-biased,95,qwen3:4b,
122,1045,Liberal,is-not-biased,90,qwen3:4b,
180,1044,Independent,is-biased,80,qwen3:4b,
27,290,Conservative,is-not-biased,90,qwen3:4b,
258,1046,Liberal,is-not-biased,95,qwen3:4b,
157,353,Independent,is-not-biased,95,qwen3:4b,
276,1864,Independent,is-not-biased,95,qwen3:4b,
12,668,Conservative,is-biased,85,qwen3:4b,
152,354,Conservative,is-not-biased,95,qwen3:4b,
99,355,Liberal,is-not-biased,95,qwen3:4b,
115,1865,Liberal,is-not-biased,90,qwen3:4b,
198,669,Liberal,is-not-biased,95,qwen3:4b,
176,670,Liberal,is-not-biased,90,qwen3:4b,
143,1047,Liberal,is-not-biased,85,qwen3:4b,
139,292,Conservative,is-not-biased,95,qwen3:4b,
269,293,Conservative,is-not-biased,95,qwen3:4b,
265,1866,Liberal,is-not-biased,90,qwen3:4b,
180,291,Liberal,is-not-biased,90,qwen3:4b,
151,1049,Liberal,is-not-biased,95,qwen3:4b,
265,1048,Liberal,is-not-biased,95,qwen3:4b,
59,1867,Liberal,is-not-biased,95,qwen3:4b,
114,1868,Liberal,is-not-biased,95,qwen3:4b,
184,294,Liberal,is-not-biased,95,qwen3:4b,
230,671,Conservative,is-not-biased,90,qwen3:4b,
20,356,Liberal,is-not-biased,90,qwen3:4b,
140,672,Liberal,is-not-biased,95,qwen3:4b,
215,1869,Independent,is-not-biased,95,qwen3:4b,
100,295,Liberal,is-not-biased,90,qwen3:4b,
76,296,Liberal,is-not-biased,95,qwen3:4b,
160,357,Conservative,is-not-biased,100,qwen3:4b,
153,1051,Liberal,is-not-biased,95,qwen3:4b,
123,358,Conservative,is-biased,85,qwen3:4b,
204,1050,Conservative,is-not-biased,85,qwen3:4b,
84,673,Conservative,is-not-biased,90,qwen3:4b,
113,1870,Conservative,is-not-biased,95,qwen3:4b,
277,1052,Liberal,is-not-biased,95,qwen3:4b,
116,359,Liberal,is-not-biased,95,qwen3:4b,
263,360,Conservative,is-not-biased,95,qwen3:4b,
196,674,Conservative,is-not-biased,90,qwen3:4b,
28,1871,Conservative,is-not-biased,95,qwen3:4b,
101,675,Liberal,is-not-biased,95,qwen3:4b,
149,298,Liberal,is-not-biased,95,qwen3:4b,
92,1053,Conservative,is-not-biased,95,qwen3:4b,
22,1054,Independent,is-not-biased,95,qwen3:4b,
171,361,Independent,is-not-biased,95,qwen3:4b,
207,1872,Liberal,is-biased,85,qwen3:4b,
59,1873,Independent,is-not-biased,95,qwen3:4b,
73,297,Liberal,is-not-biased,85,qwen3:4b,
129,677,Liberal,is-not-biased,95,qwen3:4b,
113,676,Liberal,is-not-biased,95,qwen3:4b,
235,299,Liberal,is-not-biased,85,qwen3:4b,
62,1874,Independent,is-not-biased,95,qwen3:4b,
25,362,Liberal,is-not-biased,95,qwen3:4b,
16,300,Liberal,is-not-biased,95,qwen3:4b,
142,1055,Conservative,is-not-biased,90,qwen3:4b,
122,363,Independent,is-biased,70,qwen3:4b,
67,678,Conservative,is-not-biased,90,qwen3:4b,
208,1056,Conservative,is-not-biased,95,qwen3:4b,
262,1057,Liberal,is-not-biased,95,qwen3:4b,
114,364,Liberal,is-not-biased,95,qwen3:4b,
54,1875,Conservative,is-not-biased,90,qwen3:4b,
36,301,Liberal,is-not-biased,95,qwen3:4b,
95,679,Liberal,is-not-biased,95,qwen3:4b,
42,680,Independent,is-not-biased,95,qwen3:4b,
112,1876,Conservative,is-not-biased,90,qwen3:4b,
101,365,Conservative,is-not-biased,95,qwen3:4b,
263,303,Conservative,is-not-biased,95,qwen3:4b,
128,302,Conservative,is-not-biased,95,qwen3:4b,
59,1058,Conservative,is-not-biased,95,qwen3:4b,
184,681,Independent,is-not-biased,95,qwen3:4b,
52,1877,Liberal,is-not-biased,95,qwen3:4b,
193,1878,Conservative,is-not-biased,95,qwen3:4b,
156,304,Liberal,is-not-biased,95,qwen3:4b,
142,682,Conservative,is-not-biased,95,qwen3:4b,
40,366,Liberal,is-not-biased,90,qwen3:4b,
115,1879,Independent,is-not-biased,95,qwen3:4b,
210,1060,Conservative,is-not-biased,95,qwen3:4b,
110,1059,Independent,is-not-biased,95,qwen3:4b,
265,305,Liberal,is-not-biased,95,qwen3:4b,
220,367,Liberal,is-not-biased,95,qwen3:4b,
210,683,Liberal,is-not-biased,90,qwen3:4b,
97,368,Liberal,is-not-biased,95,qwen3:4b,
192,369,Conservative,is-not-biased,95,qwen3:4b,
114,1880,Liberal,is-not-biased,95,qwen3:4b,
136,684,Liberal,is-not-biased,95,qwen3:4b,
147,1061,Independent,is-not-biased,100,qwen3:4b,
227,306,Liberal,is-not-biased,95,qwen3:4b,
116,1881,Conservative,is-not-biased,95,qwen3:4b,
263,370,Liberal,is-not-biased,95,qwen3:4b,
237,1062,Conservative,is-not-biased,95,qwen3:4b,
35,307,Liberal,is-not-biased,95,qwen3:4b,
65,685,Liberal,is-not-biased,95,qwen3:4b,
2,371,Independent,is-not-biased,95,qwen3:4b,
121,308,Independent,is-not-biased,95,qwen3:4b,
152,1063,Liberal,is-not-biased,90,qwen3:4b,
110,1882,Liberal,is-not-biased,95,qwen3:4b,
22,1064,Conservative,is-not-biased,95,qwen3:4b,
22,309,Liberal,is-not-biased,95,qwen3:4b,
145,686,Liberal,is-not-biased,90,qwen3:4b,
211,1883,Independent,is-not-biased,95,qwen3:4b,
2,687,Liberal,is-not-biased,100,qwen3:4b,
40,1065,Independent,is-not-biased,95,qwen3:4b,
61,1884,Conservative,is-not-biased,90,qwen3:4b,
129,310,Conservative,is-not-biased,90,qwen3:4b,
153,373,Conservative,is-not-biased,90,qwen3:4b,
91,372,Liberal,is-not-biased,90,qwen3:4b,
60,1066,Liberal,is-not-biased,95,qwen3:4b,
165,688,Liberal,is-not-biased,90,qwen3:4b,
114,1885,Conservative,is-not-biased,95,qwen3:4b,
63,374,Other,is-not-biased,95,qwen3:4b,
241,689,Liberal,is-not-biased,95,qwen3:4b,
115,311,Conservative,is-not-biased,95,qwen3:4b,
229,1067,Independent,is-not-biased,95,qwen3:4b,
86,690,Conservative,is-not-biased,95,qwen3:4b,
119,312,Liberal,is-not-biased,95,qwen3:4b,
112,313,Independent,is-not-biased,95,qwen3:4b,
125,375,Liberal,is-not-biased,95,qwen3:4b,
54,1886,Conservative,is-biased,85,qwen3:4b,
230,1068,Conservative,is-not-biased,90,qwen3:4b,
219,691,Independent,is-not-biased,95,qwen3:4b,
86,1069,Conservative,is-not-biased,95,qwen3:4b,
35,1887,Independent,is-not-biased,90,qwen3:4b,
154,314,Conservative,is-not-biased,95,qwen3:4b,
230,377,Conservative,is-not-biased,95,qwen3:4b,
244,692,Liberal,is-not-biased,90,qwen3:4b,
9,376,Liberal,is-not-biased,95,qwen3:4b,
210,1070,Independent,is-not-biased,95,qwen3:4b,
