Model,Model_Display,Group,Comparison,Coefficient_log_odds,Odds_Ratio,OR_CI_2.5,OR_CI_97.5,p_value,significance,direction
gemini-2.5-flash-lite,Gemini 2.5,Conservative,Conservative baseline,-0.6286086594223749,0.533333333333333,0.4593333795672873,0.6192548965468251,1.6067419667740717e-16,***,lower accuracy than Conservative
gemini-2.5-flash-lite,Gemini 2.5,Liberal,Liberal vs Conservative,0.3527145427226363,1.4229249011857719,1.165263081308546,1.737560647798831,0.0005390548364887918,***,higher accuracy than Conservative
gemini-2.5-flash-lite,Gemini 2.5,Independent,Independent vs Conservative,0.5031744770304716,1.6539634146341475,1.306451714964641,2.0939120409989953,2.8982559596783182e-05,***,higher accuracy than Conservative
gemma3_27b,Gemma3 27B,Conservative,Conservative baseline,-0.34868129625798716,0.7056179775280896,0.61070973840874,0.8152755702048359,2.2342077356167005e-06,***,lower accuracy than Conservative
gemma3_27b,Gemma3 27B,Liberal,Liberal vs Conservative,0.154817979023861,1.1674454422052838,0.9599530293074908,1.4197870301103235,0.12099456905513117,ns,higher accuracy than Conservative
gemma3_27b,Gemma3 27B,Independent,Independent vs Conservative,0.3270821844545254,1.3869154553867935,1.0991956976967483,1.749947242716948,0.005829042077713188,**,higher accuracy than Conservative
gpt-4o-mini,GPT-4o mini,Conservative,Conservative baseline,-0.7050285084466973,0.4940944881889767,0.424753879619999,0.5747548756402985,6.357644708491116e-20,***,lower accuracy than Conservative
gpt-4o-mini,GPT-4o mini,Liberal,Liberal vs Conservative,0.3739471204603607,1.4534602901136755,1.1881891171850671,1.7779550278512513,0.0002757970442587185,***,higher accuracy than Conservative
gpt-4o-mini,GPT-4o mini,Independent,Independent vs Conservative,0.5969320129699965,1.8165371301678523,1.433285993175291,2.3022670709061277,7.919230506009789e-07,***,higher accuracy than Conservative
gpt-5.4-mini,GPT-5.4 mini,Conservative,Conservative baseline,-0.3595554068040865,0.697986577181208,0.6040216154635535,0.8065692509220063,1.0942024596228673e-06,***,lower accuracy than Conservative
gpt-5.4-mini,GPT-5.4 mini,Liberal,Liberal vs Conservative,0.12021716956989645,1.1277417361754716,0.9270088775178411,1.3719409321272544,0.22932768097556822,ns,higher accuracy than Conservative
gpt-5.4-mini,GPT-5.4 mini,Independent,Independent vs Conservative,0.23412122441218297,1.2637976860537834,1.0012604775345886,1.5951739103970797,0.04877347332925819,*,higher accuracy than Conservative
