article_id,index,politics,age,gender,llm_assessment,llm_confidence,llm_model,llm_error
93,966,Liberal,40,Female,is-not-biased,80,llama3.2:3b,
262,5,Other,33,Male,is-biased,30,llama3.2:3b,
98,3,Conservative,38,Female,is-biased,30,llama3.2:3b,
255,4,Independent,39,Male,is-biased,60,llama3.2:3b,
129,1533,Conservative,51,Female,is-biased,60,llama3.2:3b,
133,1532,Independent,25,Female,is-biased,30,llama3.2:3b,
171,965,Liberal,73,Male,is-biased,60,llama3.2:3b,
139,963,Conservative,67,Female,is-biased,80,llama3.2:3b,
3,967,Conservative,27,Female,is-not-biased,80,llama3.2:3b,
208,1534,Conservative,25,Male,is-not-biased,80,llama3.2:3b,
140,968,Independent,55,Female,is-biased,60,llama3.2:3b,
129,1535,Liberal,55,Male,is-biased,20,llama3.2:3b,
180,6,Conservative,30,Female,is-not-biased,80,llama3.2:3b,
71,969,Conservative,52,Female,is-biased,60,llama3.2:3b,
129,1536,Conservative,28,Female,is-biased,60,llama3.2:3b,
136,7,Liberal,42,Female,is-not-biased,80,llama3.2:3b,
2,970,Conservative,55,Male,is-not-biased,90,llama3.2:3b,
171,8,Liberal,49,Male,is-biased,60,llama3.2:3b,
134,1537,Liberal,31,Male,is-biased,60,llama3.2:3b,
279,9,Conservative,31,Male,is-biased,60,llama3.2:3b,
146,971,Conservative,27,Female,is-not-biased,80,llama3.2:3b,
249,1538,Conservative,25,Male,is-biased,60,llama3.2:3b,
227,10,Liberal,37,Male,is-not-biased,80,llama3.2:3b,
24,972,Conservative,58,Male,is-not-biased,90,llama3.2:3b,
129,1539,Liberal,36,Female,is-biased,20,llama3.2:3b,
57,11,Independent,36,Female,is-not-biased,90,llama3.2:3b,
267,1540,Conservative,59,Male,is-not-biased,90,llama3.2:3b,
100,973,Liberal,64,Male,is-not-biased,80,llama3.2:3b,
98,13,Independent,43,Male,is-biased,30,llama3.2:3b,
131,1541,Conservative,54,Male,is-biased,60,llama3.2:3b,
