Model,Model_Display,Comparison,Before_Accuracy,After_Accuracy,Delta_Accuracy,Before_Kappa,After_Kappa,Delta_Kappa,Before_Bias_Rate,After_Bias_Rate,Delta_Bias_Rate
gemini-2.5-flash-lite,Gemini 2.5,CoT vs Direct,0.4,0.4558139534883721,0.05581395348837209,-0.0325378801980567,0.05909855994015345,0.09163644013821015,0.22325581395348837,0.23255813953488372,0.009302325581395349
gemini-2.5-flash-lite,Gemini 2.5,Chained CoT vs Direct,0.4,0.49767441860465117,0.09767441860465115,-0.0325378801980567,0.012839044298954105,0.04537692449701081,0.22325581395348837,0.4697674418604651,0.24651162790697673
gemini-2.5-flash-lite,Gemini 2.5,Chained CoT vs CoT,0.4558139534883721,0.49767441860465117,0.041860465116279055,0.05909855994015345,0.012839044298954105,-0.046259515641199345,0.23255813953488372,0.4697674418604651,0.23720930232558138
gemma3_27b,Gemma3 27B,CoT vs Direct,0.5321100917431193,0.5963302752293578,0.06422018348623848,0.11205175305486781,0.061172555544680485,-0.050879197510187324,0.40825688073394495,0.7385321100917431,0.3302752293577982
gemma3_27b,Gemma3 27B,Chained CoT vs Direct,0.5321100917431193,0.6467889908256881,0.11467889908256879,0.11205175305486781,,,0.40825688073394495,1.0,0.591743119266055
gemma3_27b,Gemma3 27B,Chained CoT vs CoT,0.5963302752293578,0.6467889908256881,0.050458715596330306,0.061172555544680485,,,0.7385321100917431,1.0,0.26146788990825687
gpt-4o-mini,GPT-4o mini,CoT vs Direct,0.5,0.5275229357798165,0.02752293577981646,0.08162634304707417,0.07253201156546873,-0.009094331481605433,0.3486238532110092,0.46788990825688076,0.11926605504587157
gpt-4o-mini,GPT-4o mini,Chained CoT vs Direct,0.5,0.6467889908256881,0.14678899082568808,0.08162634304707417,,,0.3486238532110092,1.0,0.6513761467889908
gpt-4o-mini,GPT-4o mini,Chained CoT vs CoT,0.5275229357798165,0.6467889908256881,0.11926605504587162,0.07253201156546873,,,0.46788990825688076,1.0,0.5321100917431192
gpt-5.4-mini,GPT-5.4 mini,CoT vs Direct,0.4908256880733945,0.518348623853211,0.027522935779816515,0.1212869489432783,0.09746865389164894,-0.023818295051629357,0.22935779816513763,0.3853211009174312,0.1559633027522936
gpt-5.4-mini,GPT-5.4 mini,Chained CoT vs Direct,0.4908256880733945,0.6330275229357798,0.1422018348623853,0.1212869489432783,0.01724332243885962,-0.10404362650441867,0.22935779816513763,0.9311926605504587,0.701834862385321
gpt-5.4-mini,GPT-5.4 mini,Chained CoT vs CoT,0.518348623853211,0.6330275229357798,0.11467889908256879,0.09746865389164894,0.01724332243885962,-0.08022533145278932,0.3853211009174312,0.9311926605504587,0.5458715596330275
