article_id,index,politics,llm_assessment,llm_confidence,llm_model,llm_error
80,1502,Liberal,is-biased,80,llama4:scout,
210,683,Liberal,is-not-biased,80,llama4:scout,
136,684,Liberal,is-not-biased,90,llama4:scout,
152,1377,Liberal,is-biased,80,llama4:scout,
65,685,Liberal,is-biased,80,llama4:scout,
29,1504,Liberal,is-biased,80,llama4:scout,
157,1378,Liberal,is-biased,70,llama4:scout,
10,1503,Conservative,is-not-biased,80,llama4:scout,
145,686,Liberal,is-biased,80,llama4:scout,
267,1379,Independent,is-not-biased,100,llama4:scout,
242,1505,Liberal,is-not-biased,80,llama4:scout,
2,687,Liberal,is-not-biased,80,llama4:scout,
159,1380,Conservative,is-biased,80,llama4:scout,
75,1506,Conservative,is-not-biased,90,llama4:scout,
165,688,Liberal,is-biased,70,llama4:scout,
241,689,Liberal,is-not-biased,80,llama4:scout,
2,1382,Independent,is-not-biased,80,llama4:scout,
208,1507,Conservative,is-not-biased,80,llama4:scout,
104,1381,Independent,is-not-biased,90,llama4:scout,
43,1508,Conservative,is-biased,80,llama4:scout,
169,1383,Conservative,is-biased,80,llama4:scout,
86,690,Conservative,is-not-biased,90,llama4:scout,
129,1509,Liberal,is-not-biased,80,llama4:scout,
37,1384,Liberal,is-not-biased,80,llama4:scout,
244,692,Liberal,is-biased,70,llama4:scout,
219,691,Independent,is-biased,70,llama4:scout,
132,1510,Conservative,is-biased,70,llama4:scout,
230,1385,Independent,is-not-biased,100,llama4:scout,
258,1511,Conservative,is-not-biased,90,llama4:scout,
183,693,Conservative,is-not-biased,90,llama4:scout,
184,1386,Conservative,is-not-biased,90,llama4:scout,
28,694,Liberal,is-not-biased,80,llama4:scout,
130,1512,Conservative,is-biased,80,llama4:scout,
95,1387,Independent,is-not-biased,90,llama4:scout,
182,1513,Conservative,is-biased,80,llama4:scout,
240,695,Liberal,is-not-biased,90,llama4:scout,
230,1388,Conservative,is-not-biased,100,llama4:scout,
49,696,Conservative,is-not-biased,80,llama4:scout,
74,1514,Liberal,is-not-biased,80,llama4:scout,
174,1389,Conservative,is-biased,70,llama4:scout,
278,1390,Independent,is-biased,70,llama4:scout,
142,697,Conservative,is-biased,70,llama4:scout,
132,1515,Conservative,is-biased,70,llama4:scout,
133,1516,Independent,is-not-biased,80,llama4:scout,
98,698,Independent,is-not-biased,90,llama4:scout,
162,1391,Liberal,is-not-biased,80,llama4:scout,
236,1517,Conservative,is-not-biased,90,llama4:scout,
144,699,Independent,is-not-biased,90,llama4:scout,
121,1392,Conservative,is-not-biased,80,llama4:scout,
208,1518,Conservative,is-not-biased,80,llama4:scout,
202,700,Other,is-not-biased,80,llama4:scout,
67,1393,Liberal,is-biased,70,llama4:scout,
102,701,Liberal,is-not-biased,80,llama4:scout,
89,1394,Liberal,is-not-biased,80,llama4:scout,
136,1519,Conservative,is-not-biased,80,llama4:scout,
266,702,Independent,is-not-biased,80,llama4:scout,
136,1521,Independent,is-not-biased,90,llama4:scout,
14,1520,Liberal,is-biased,70,llama4:scout,
103,703,Independent,is-not-biased,90,llama4:scout,
2,1396,Conservative,is-not-biased,80,llama4:scout,
131,1395,Conservative,is-biased,80,llama4:scout,
129,1522,Liberal,is-not-biased,80,llama4:scout,
197,704,Conservative,is-biased,80,llama4:scout,
41,1397,default,is-not-biased,80,llama4:scout,
133,1523,Conservative,is-biased,70,llama4:scout,
94,705,Conservative,is-not-biased,80,llama4:scout,
211,1398,Conservative,is-biased,80,llama4:scout,
218,706,Liberal,is-biased,80,llama4:scout,
239,1399,Liberal,is-not-biased,80,llama4:scout,
130,1525,Independent,is-not-biased,80,llama4:scout,
132,1524,Liberal,is-biased,70,llama4:scout,
166,707,Independent,is-biased,60,llama4:scout,
125,1400,Conservative,is-biased,70,llama4:scout,
80,1526,Independent,is-not-biased,80,llama4:scout,
101,708,Liberal,is-not-biased,90,llama4:scout,
194,1401,Independent,is-not-biased,90,llama4:scout,
70,709,Conservative,is-not-biased,80,llama4:scout,
2,1402,Conservative,is-not-biased,80,llama4:scout,
137,1527,Liberal,is-not-biased,90,llama4:scout,
128,710,Liberal,is-not-biased,90,llama4:scout,
133,1528,Conservative,is-biased,70,llama4:scout,
157,1403,Conservative,is-biased,70,llama4:scout,
97,1404,Liberal,is-not-biased,80,llama4:scout,
262,1530,Independent,is-not-biased,90,llama4:scout,
157,711,Liberal,is-biased,70,llama4:scout,
14,1529,Conservative,is-biased,70,llama4:scout,
146,712,Independent,is-not-biased,90,llama4:scout,
236,1531,Independent,is-not-biased,90,llama4:scout,
157,1405,Conservative,is-biased,70,llama4:scout,
277,713,Independent,is-not-biased,100,llama4:scout,
237,1406,Liberal,is-not-biased,80,llama4:scout,
197,714,Liberal,is-biased,80,llama4:scout,
133,1532,Independent,is-not-biased,80,llama4:scout,
169,1407,Conservative,is-biased,80,llama4:scout,
129,1533,Conservative,is-not-biased,80,llama4:scout,
188,715,Independent,is-biased,80,llama4:scout,
101,1408,Independent,is-not-biased,90,llama4:scout,
208,1534,Conservative,is-not-biased,80,llama4:scout,
193,1409,Independent,is-not-biased,90,llama4:scout,
123,716,Conservative,is-not-biased,80,llama4:scout,
33,717,Independent,is-not-biased,90,llama4:scout,
129,1535,Liberal,is-not-biased,80,llama4:scout,
262,1410,Conservative,is-not-biased,80,llama4:scout,
29,1411,Conservative,is-biased,80,llama4:scout,
129,1536,Conservative,is-not-biased,80,llama4:scout,
104,718,Liberal,is-biased,80,llama4:scout,
134,1537,Liberal,is-biased,80,llama4:scout,
95,1412,Conservative,is-biased,80,llama4:scout,
101,719,Independent,is-not-biased,90,llama4:scout,
249,1538,Conservative,is-not-biased,90,llama4:scout,
210,720,Independent,is-not-biased,90,llama4:scout,
129,1539,Liberal,is-not-biased,80,llama4:scout,
141,1413,Conservative,is-not-biased,80,llama4:scout,
