article_id,index,politics,age,gender,llm_assessment,llm_confidence,llm_model,llm_error
114,179,Liberal,63,Female,is-not-biased,85,gpt-4o-mini,
52,1754,Liberal,45,Male,is-biased,75,gpt-4o-mini,
171,178,Independent,48,Male,is-not-biased,85,gpt-4o-mini,
174,180,Conservative,24,Male,is-biased,75,gpt-4o-mini,
263,495,Independent,26,Male,is-not-biased,85,gpt-4o-mini,
156,494,Liberal,36,Female,is-not-biased,85,gpt-4o-mini,
145,493,Liberal,50,Male,is-not-biased,85,gpt-4o-mini,
16,1753,Other,55,Male,is-not-biased,85,gpt-4o-mini,
211,1755,Independent,64,Female,is-not-biased,85,gpt-4o-mini,
52,1756,Liberal,29,Female,is-biased,75,gpt-4o-mini,
111,182,Liberal,22,Female,is-biased,85,gpt-4o-mini,
139,497,Independent,40,Male,is-biased,75,gpt-4o-mini,
61,1757,Conservative,55,Female,is-not-biased,75,gpt-4o-mini,
10,183,Conservative,35,Male,is-not-biased,85,gpt-4o-mini,
19,1758,Liberal,24,Female,is-not-biased,85,gpt-4o-mini,
210,181,Liberal,31,Female,is-not-biased,85,gpt-4o-mini,
118,184,Liberal,28,Male,is-not-biased,85,gpt-4o-mini,
7,498,Conservative,29,Female,is-biased,75,gpt-4o-mini,
31,499,Other,40,Male,is-not-biased,85,gpt-4o-mini,
58,1759,Liberal,31,Female,is-not-biased,85,gpt-4o-mini,
159,185,Liberal,48,Female,is-not-biased,85,gpt-4o-mini,
42,1760,Liberal,22,Male,is-not-biased,85,gpt-4o-mini,
136,500,Independent,65,Male,is-not-biased,85,gpt-4o-mini,
154,501,Liberal,25,Male,is-not-biased,85,gpt-4o-mini,
26,1761,Liberal,50,Female,is-not-biased,85,gpt-4o-mini,
171,496,Independent,20,Female,is-not-biased,85,gpt-4o-mini,
286,187,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
33,186,Liberal,49,Female,is-not-biased,85,gpt-4o-mini,
173,503,Other,26,Male,is-biased,75,gpt-4o-mini,
284,502,Liberal,62,Female,is-biased,85,gpt-4o-mini,
22,188,Liberal,42,Female,is-not-biased,85,gpt-4o-mini,
192,1763,Conservative,46,Female,is-not-biased,85,gpt-4o-mini,
136,189,Conservative,60,Female,is-not-biased,85,gpt-4o-mini,
208,504,Conservative,28,Female,is-not-biased,85,gpt-4o-mini,
238,1762,Conservative,80,Male,is-not-biased,85,gpt-4o-mini,
235,190,Conservative,38,Female,is-not-biased,85,gpt-4o-mini,
109,505,Liberal,40,Male,is-not-biased,85,gpt-4o-mini,
252,191,Conservative,30,Male,is-biased,75,gpt-4o-mini,
116,1765,Independent,34,Male,is-not-biased,85,gpt-4o-mini,
51,1764,Conservative,48,Female,is-biased,75,gpt-4o-mini,
55,1766,Liberal,50,Male,is-not-biased,85,gpt-4o-mini,
71,192,Liberal,33,Female,is-not-biased,85,gpt-4o-mini,
223,506,Independent,29,Male,is-not-biased,85,gpt-4o-mini,
192,1767,Conservative,36,Female,is-not-biased,85,gpt-4o-mini,
225,507,Other,30,Male,is-not-biased,85,gpt-4o-mini,
182,193,Conservative,47,Female,is-biased,75,gpt-4o-mini,
113,1768,Liberal,35,Female,is-not-biased,85,gpt-4o-mini,
225,508,Liberal,77,Female,is-not-biased,85,gpt-4o-mini,
116,1769,Conservative,59,Male,is-not-biased,85,gpt-4o-mini,
267,194,Conservative,44,Female,is-not-biased,85,gpt-4o-mini,
197,509,Liberal,32,Male,is-biased,85,gpt-4o-mini,
276,1770,Liberal,39,Female,is-not-biased,85,gpt-4o-mini,
87,195,Independent,45,Male,is-not-biased,85,gpt-4o-mini,
74,510,Liberal,34,Female,is-not-biased,85,gpt-4o-mini,
59,511,Liberal,30,Female,is-not-biased,85,gpt-4o-mini,
136,196,Conservative,33,Male,is-not-biased,85,gpt-4o-mini,
115,1771,Liberal,48,Male,is-not-biased,85,gpt-4o-mini,
276,1772,Independent,28,Female,is-not-biased,85,gpt-4o-mini,
46,513,Independent,25,Male,is-not-biased,85,gpt-4o-mini,
113,1773,Conservative,33,Male,is-biased,75,gpt-4o-mini,
111,198,Liberal,40,Female,is-biased,85,gpt-4o-mini,
33,512,Liberal,39,Female,is-not-biased,85,gpt-4o-mini,
20,197,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
65,199,Other,60,Female,is-biased,75,gpt-4o-mini,
110,1774,Liberal,31,Other,is-not-biased,85,gpt-4o-mini,
114,1775,Other,29,Female,is-not-biased,85,gpt-4o-mini,
156,514,Independent,30,Male,is-not-biased,85,gpt-4o-mini,
93,201,Conservative,25,Male,is-not-biased,85,gpt-4o-mini,
177,516,Conservative,40,Female,is-not-biased,85,gpt-4o-mini,
142,515,Conservative,48,Male,is-biased,75,gpt-4o-mini,
113,1776,Conservative,43,Male,is-biased,75,gpt-4o-mini,
266,200,Liberal,29,Male,is-not-biased,85,gpt-4o-mini,
62,517,Liberal,57,Female,is-not-biased,85,gpt-4o-mini,
20,203,Independent,45,Male,is-not-biased,85,gpt-4o-mini,
140,202,Conservative,26,Female,is-biased,85,gpt-4o-mini,
245,1777,Conservative,65,Female,is-not-biased,85,gpt-4o-mini,
28,1778,Independent,45,Female,is-not-biased,85,gpt-4o-mini,
106,204,Conservative,30,Female,is-biased,75,gpt-4o-mini,
25,518,Independent,46,Male,is-not-biased,85,gpt-4o-mini,
112,1779,Conservative,58,Male,is-not-biased,85,gpt-4o-mini,
112,1780,Liberal,60,Male,is-not-biased,85,gpt-4o-mini,
136,519,Conservative,41,Female,is-not-biased,85,gpt-4o-mini,
168,520,Independent,35,Female,is-not-biased,85,gpt-4o-mini,
242,205,Independent,34,Male,is-not-biased,85,gpt-4o-mini,
169,206,Conservative,61,Male,is-not-biased,85,gpt-4o-mini,
181,521,Conservative,62,Male,is-not-biased,85,gpt-4o-mini,
115,1781,Independent,26,Male,is-not-biased,85,gpt-4o-mini,
54,1782,Independent,22,Female,is-not-biased,85,gpt-4o-mini,
100,207,Liberal,41,Male,is-not-biased,85,gpt-4o-mini,
153,523,Other,30,Other,is-not-biased,85,gpt-4o-mini,
7,208,Liberal,34,Male,is-not-biased,85,gpt-4o-mini,
8,522,Independent,34,Male,is-not-biased,85,gpt-4o-mini,
193,1783,Conservative,22,Female,is-not-biased,85,gpt-4o-mini,
69,209,Liberal,56,Male,is-not-biased,85,gpt-4o-mini,
143,524,Conservative,63,Female,is-not-biased,85,gpt-4o-mini,
111,1784,Independent,52,Male,is-biased,75,gpt-4o-mini,
149,210,Liberal,44,Female,is-not-biased,85,gpt-4o-mini,
157,525,Liberal,51,Male,is-biased,75,gpt-4o-mini,
116,1785,Liberal,35,Male,is-not-biased,85,gpt-4o-mini,
29,211,Independent,25,Female,is-not-biased,85,gpt-4o-mini,
278,1786,Conservative,48,Male,is-not-biased,85,gpt-4o-mini,
112,526,Independent,45,Female,is-not-biased,85,gpt-4o-mini,
282,212,Conservative,52,Male,is-not-biased,85,gpt-4o-mini,
276,1787,Conservative,47,Male,is-biased,75,gpt-4o-mini,
169,213,Liberal,35,Male,is-biased,75,gpt-4o-mini,
86,528,Liberal,30,Female,is-not-biased,85,gpt-4o-mini,
105,214,Independent,47,Male,is-not-biased,85,gpt-4o-mini,
112,1788,Conservative,25,Female,is-not-biased,85,gpt-4o-mini,
181,529,Independent,29,Female,is-not-biased,85,gpt-4o-mini,
76,215,Conservative,32,Male,is-biased,75,gpt-4o-mini,
112,1789,Liberal,37,Male,is-not-biased,85,gpt-4o-mini,
115,530,Independent,24,Female,is-not-biased,85,gpt-4o-mini,
54,1790,Independent,30,Male,is-not-biased,85,gpt-4o-mini,
154,216,Conservative,47,Female,is-not-biased,85,gpt-4o-mini,
179,531,Liberal,30,Male,is-not-biased,85,gpt-4o-mini,
127,532,Liberal,53,Male,is-not-biased,85,gpt-4o-mini,
77,218,Liberal,39,Female,is-not-biased,85,gpt-4o-mini,
50,1792,Other,32,Male,is-biased,75,gpt-4o-mini,
193,1791,Liberal,44,Female,is-not-biased,85,gpt-4o-mini,
265,533,Conservative,26,Male,is-biased,85,gpt-4o-mini,
20,217,Liberal,38,Female,is-biased,85,gpt-4o-mini,
276,1793,Liberal,25,Female,is-not-biased,85,gpt-4o-mini,
182,219,Independent,48,Female,is-not-biased,85,gpt-4o-mini,
168,220,Conservative,31,Male,is-biased,85,gpt-4o-mini,
149,535,Liberal,34,Male,is-not-biased,85,gpt-4o-mini,
262,534,Liberal,30,Male,is-not-biased,85,gpt-4o-mini,
50,1794,Liberal,22,Female,is-biased,85,gpt-4o-mini,
52,1795,Conservative,48,Male,is-not-biased,85,gpt-4o-mini,
84,536,Liberal,27,Female,is-not-biased,85,gpt-4o-mini,
152,221,Independent,40,Male,is-biased,75,gpt-4o-mini,
113,1796,Conservative,41,Male,is-biased,75,gpt-4o-mini,
90,222,Liberal,48,Male,is-biased,85,gpt-4o-mini,
205,1797,Other,19,Male,is-not-biased,85,gpt-4o-mini,
168,537,Liberal,48,Female,is-not-biased,85,gpt-4o-mini,
276,1798,Independent,42,Male,is-not-biased,85,gpt-4o-mini,
72,223,Conservative,39,Male,is-biased,75,gpt-4o-mini,
256,538,Conservative,29,Female,is-biased,85,gpt-4o-mini,
